All Players Year to Date MLB Pitcher_import Categories
Avail,Player,MLB,Eligible,Rank,
W ( 3/30),Joe Mantiply RP | ARI,A,RP,94
Northern Virginia River Rats,Carlos Estevez RP | KC,A,RP,94
W ( 3/30),Anthony Veneziano RP | MIA,A,RP,94
W ( 3/30),Daysbel Hernandez RP | ATL,A,RP,94
W ( 3/30),"Erik Miller RP,SP | SF",A,"RP,SP",94
South Carolina Ballcocks,Pierce Johnson RP | ATL,A,RP,94
W ( 3/30),Yimi Garcia RP | TOR,A,RP,94
W ( 3/30),T.J. McFarland RP | ATH ,A,RP,94
W ( 3/30),Hunter Bigge RP | TB ,A,RP,94
W ( 3/30),Chris Roycroft RP | STL,A,RP,94
Northern Virginia River Rats,Luis Garcia RP | LAD,A,RP,109
W ( 3/30),George Soriano RP | MIA,A,RP,110
W ( 3/30),Brendon Little RP | TOR ,A,RP,111
W ( 3/30),Tyler Phillips SP | MIA ,A,SP,112
Northern Virginia River Rats,Ben Lively SP | CLE ,A,SP,114
Fairfax Flying Squirrels,Luke Weaver RP | NYY,A,RP,115
W ( 3/30),Reed Garrett RP | NYM,A,RP,115
W ( 3/30),Randy Rodriguez RP | SF,A,RP,115
W ( 3/30),Jacob Webb RP | TEX,A,RP,118
Midlothian DeadHeads,Tanner Scott RP | LAD ,A,RP,119
East Carolina Bucs,Ryan Walker RP | SF ,A,RP,120
W ( 3/30),"Tyler Alexander RP,SP | MIL ",A,"RP,SP",122
South Carolina Ballcocks,A.J. Minter RP | NYM,A,RP,122
Midlothian DeadHeads,Mason Montgomery RP | TB,A,RP,122
W ( 3/30),Danny Young RP | NYM,A,RP,122
W ( 3/30),Hunter Gaddis RP | CLE,A,RP,122
W ( 3/30),Phil Maton RP | STL,A,RP,122
W ( 3/30),Bryan Baker RP | BAL,A,RP,122
W ( 3/30),Greg Weissert RP | BOS ,A,RP,122
W ( 3/30),Ryan Thompson RP | ARI,A,RP,131
Centreville Blue Sox,Lucas Erceg RP | KC,A,RP,131
East Carolina Bucs,Garrett Crochet SP | BOS ,A,SP,133
W ( 3/30),Sam Moll RP | CIN,A,RP,134
W ( 3/30),Dylan Lee RP | ATL,A,RP,135
Wrigleyville Fielders,Chris Sale SP | ATL ,A,SP,136
W ( 3/30),"Louie Varland RP,SP | MIN",A,"RP,SP",138
W ( 3/30),Ryne Stanek RP | NYM,A,RP,138
W ( 3/30),Richard Lovelady RP | TOR,A,RP,140
W ( 3/30),Angel Chivilli RP | COL,A,RP,140
W ( 3/30),Hoby Milner RP | TEX,A,RP,140
East Carolina Bucs,Dylan Cease SP | SD ,A,SP,143
W ( 3/30),Cameron Booser RP | CHW,A,RP,144
W ( 3/30),Bryan King RP | HOU,A,RP,146
W ( 3/30),Joel Payamps RP | MIL,A,RP,146
Wrigleyville Fielders,Devin Williams RP | NYY ,A,RP,148
East Carolina Bucs,Josh Hader RP | HOU ,A,RP,148
W ( 3/30),Bryan Hudson RP | MIL,A,RP,153
W ( 3/30),Orion Kerkering RP | PHI,A,RP,153
W ( 3/30),Tayler Scott RP | HOU,A,RP,157
W ( 3/30),Tim Hill RP | NYY,A,RP,157
W ( 3/30),Will Vest RP | DET,A,RP,159
Southern Playaz,Justin Steele SP | CHC ,A,SP,160
W ( 3/30),Mike Clevinger SP | CHW ,A,SP,161
W ( 3/30),Gregory Santos RP | SEA,A,RP,163
W ( 3/30),Keegan Akin RP | BAL,A,RP,163
W ( 3/30),Tyler Ferguson RP | ATH,A,RP,163
W ( 3/30),Justin Sterner RP | ATH ,A,RP,166
W ( 3/30),"Brenan Hanifee RP,SP | DET ",A,"RP,SP",167
W ( 3/30),Victor Vodnik RP | COL ,A,RP,167
Midlothian DeadHeads,Pablo Lopez SP | MIN ,A,SP,170
W ( 3/30),John King RP | STL,A,RP,172
W ( 3/30),Justin Topa RP | MIN,A,RP,172
East Carolina Bucs,Roki Sasaki SP | LAD,A,SP,176
Southern Playaz,Kyle Finnegan RP | WAS,A,RP,177
East Carolina Bucs,Bryan Abreu RP | HOU,A,RP,177
W ( 3/30),"Albert Suarez RP,SP | BAL ",A,"RP,SP",179
