#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
383,Tomoyuki Sugano,608372,608372,sa3025685,11148,*04b01*,BAL,SP,SP,Sugano,Tomoyuki,Sugano,Tomoyuki,Tomoyuki Sugano
384,Joey Meneses,608841,608841,14366,11525,*03et7*,NYM,1B,1B,Meneses,Joey,Meneses,Joey,Joey Meneses
385,Elier Hernandez,609274,609274,13750,11517,*02i19*,FA,OF,OF,Hernandez,Elier,,,
386,Miguel Andujar,609280,609280,15878,9523,*02i3l*,ATH,OF,OF,Andujar,Miguel,Andujar,Miguel,Miguel Andujar
387,Austin Adams,613534,613534,13801,9531,*02yxi*,BOS,RP,RP,Adams,Austin,Adams,Austin,Austin Adams
388,Jason Vosler,613564,613564,16686,9266,*03dpa*,FA,DH,1B,Vosler,Jason,,,
389,Franchy Cordero,614173,614173,14567,9541,,WSH,OF,OF,Cordero,Franchy,Cordero,Franchy,Franchy Cordero
390,Jose Ruiz,614179,614179,14552,9543,*02i45*,PHI,RP,RP,Ruiz,Jose,Ruiz,José,José Ruiz
391,Cal Quantrill,615698,615698,19312,9959,*03yxh*,MIA,SP,SP,Quantrill,Cal,Quantrill,Cal,Cal Quantrill
392,Jacob Robson,615699,615699,19528,11261,,DET,OF,OF,Robson,Jacob,Robson,Jacob,Jacob Robson
393,Luis Torrens,620443,620443,15905,9600,*02nqg*,NYM,C,C,Torrens,Luis,Torrens,Luis,Luis Torrens
394,Jose Castillo,620454,620454,17169,9911,*02new*,ARI,RP,RP,Castillo,Jose,Castillo,José,José Castillo
395,Alex De Goti,621008,621008,19477,10995,,TEX,2B,2B,De Goti,Alex,De Goti,Alex,Alex De Goti
396,Jose Cuas,621016,621016,17701,11482,*060mz*,PHI,RP,RP,Cuas,Jose,Cuas,Jose,José Cuas
397,Kevin Newman,621028,621028,17696,10078,*03pj2*,LAA,2B/SS,2B/SS,Newman,Kevin,Newman,Kevin,Kevin Newman
398,Steven Wilson,621051,621051,20353,11369,*04psv*,CHW,RP,RP,Wilson,Steven,Wilson,Steven,Steven Wilson
399,Tyler Ferguson,621053,621053,19481,12087,*03qlm*,ATH,RP,RP,Ferguson,Tyler,Ferguson,Tyler,Tyler Ferguson
400,Justin Garza,621057,621057,19784,11228,*03adu*,SF,RP,RP,Garza,Justin,Garza,Justin,Justin Garza
401,Jacob Waguespack,621097,621097,18318,10495,*04y78*,TB,RP,RP,Waguespack,Jacob,Waguespack,Jacob,Jacob Waguespack
402,Walker Buehler,621111,621111,19374,9764,*03aac*,BOS,SP,SP,Buehler,Walker,Buehler,Walker,Walker Buehler
403,Ryan Burr,621114,621114,17536,10084,*03qkx*,TOR,RP,RP,Burr,Ryan,Burr,Ryan,Ryan Burr
404,Brooks Kriske,621139,621139,21189,10602,*041t2*,CHC,RP,RP,Kriske,Brooks,Kriske,Brooks,Brooks Kriske
405,Jose Alvarado,621237,621237,17780,9515,*03btm*,PHI,RP,RP,Alvarado,Jose,Alvarado,José,José Alvarado
406,A.J. Minter,621345,621345,18655,9734,*03ppa*,NYM,RP,RP,Minter,A.J.,Minter,A.J.,A.J. Minter
407,Colin Poche,621363,621363,19403,10502,*02mz1*,WSH,RP,RP,Poche,Colin,Poche,Colin,Colin Poche
408,Ryan Borucki,621366,621366,16350,9960,*02n6w*,PIT,RP,RP,Borucki,Ryan,Borucki,Ryan,Ryan Borucki
409,Tanner Banks,621383,621383,16990,11444,*03dqv*,PHI,RP,RP,Banks,Tanner,Banks,Tanner,Tanner Banks
410,Brady Feigl,621399,621399,15968,12165,,MIN,RP,RP,Feigl,Brady,Feigl,Brady,Brady Feigl
411,Tyrone Taylor,621438,621438,13675,10114,*02mx2*,NYM,OF,OF,Taylor,Tyrone,Taylor,Tyrone,Tyrone Taylor
412,Edwin Rios,621458,621458,18316,9955,,CIN,1B,1B,Rios,Edwin,Ríos,Edwin,Edwin Ríos
413,DJ Stewart,621466,621466,17766,10017,*03pj8*,PIT,OF,OF,Stewart,DJ,Stewart,DJ,DJ Stewart
414,Taylor Ward,621493,621493,17548,10076,*03pje*,LAA,OF,OF,Ward,Taylor,Ward,Taylor,Taylor Ward
415,Tomas Nido,621512,621512,13755,9499,*02n1i*,DET,C,C,Nido,Tomas,Nido,Tomás,Tomás Nido
416,Zach Remillard,621545,621545,19788,11809,*041va*,FA,2B,2B/SS,Remillard,Zach,,,
417,Alex Young,622065,622065,18333,10644,*03aad*,CIN,RP,RP,Young,Alex,Young,Alex,Alex Young
418,Yency Almonte,622075,622075,15068,9494,*02n7z*,CHC,RP,RP,Almonte,Yency,Almonte,Yency,Yency Almonte
419,Tejay Antone,622088,622088,16233,10749,*02nbw*,CIN,RP,RP,Antone,Tejay,Antone,Tejay,Tejay Antone
420,Drew Smith,622098,622098,17755,10047,*03qkc*,NYM,RP,RP,Smith,Drew,Smith,Drew,Drew Smith
421,Josh Sborz,622250,622250,18323,10487,*03pp9*,TEX,RP,RP,Sborz,Josh,Sborz,Josh,Josh Sborz
422,Josh Staumont,622251,622251,18335,10257,*03pp2*,CIN,RP,RP,Staumont,Josh,Staumont,Josh,Josh Staumont
