Rank,Name,Pos,Age,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,PlayerId
"1","Jace LaViolette","CF","21.575",,,"","","","","",,,,,"55","sa3036058"
"2","Wehiwa Aloy","SS","21.4083333",,,"","","","","",,,,,"50","sa3025961"
"3","Jamie Arnold","SP","21.2777777",,"Tail/Uphil","55 / 60","55 / 60","","30 / 40","35 / 60",,,"92-95","97","50","sa3026225"
"4","Tyler Bremner","SP","21.1972222",,"Rise/Downh","55 / 55","55 / 60","","55 / 60","35 / 55",,,"93-96","98","50","sa3027644"
"5","Kayson Cunningham","2B","19.0166666",,,"","","","","",,,,,"50",
"6","Billy Carlson","SS","18.9222222",,,"","","","","",,,,,"50",
"7","Dean Curley","SS","21.2111111",,,"","","","","",,,,,"45+","sa3029706"
"8","Cam Cannarella","CF","21.8194444",,,"","","","","",,,,,"45+","sa3028360"
"9","Ethan Holliday","3B","18.3555555",,,"","","","","",,,,,"45+",
"10","Seth Hernandez","SP","19.0083333",,"None","55 / 70","45 / 55","","55 / 70","20 / 40",,,"95-99","100","45+",
"11","RJ Austin","CF","21.5361111",,,"","","","","",,,,,"45+","sa3026315"
"12","Marek Houston","SS","21.2138888",,,"","","","","",,,,,"45","sa3034152"
"13","Caden Bodine","C","21.5805555",,,"","","","","",,,,,"45","sa3027305"
"14","Ben Jacobs","SP","21.0555555",,"Rise","55 / 60","45 / 50","40 / 50","45 / 60","30 / 45",,,"91-94","95","45","sa3034527"
"15","Xavier Neyens","3B","18.6722222",,,"","","","","",,,,,"45",
"16","Ethan Conrad","RF","20.9888888",,,"","","","","",,,,,"45","sa3029266"
"17","Luke Stevenson","C","20.9416666",,,"","","","","",,,,,"45","sa3043081"
"18","Aiva Arquette","SS","21.7055555",,,"","","","","",,,,,"45","sa3026235"
"19","Gustavo Melendez","SS","17.6972222",,,"","","","","",,,,,"45",
"20","Kyson Witherspoon","SP","20.8861111",,"Rise/Downh","60 / 60","40 / 50","60 / 60","40 / 45","30 / 45",,,"93-97","99","45","sa3045487"
