All Players 2024  Season MLB Import_pitchers Categories
Avail,Player,APP,INN,GS,K,BAA,H,HR,QS,W-L,HD,S,BS,RW,ERA,WHIP,Rank,
Levittown Panthers,Michael Wacha SP | KC ,29,166.7,29,145,.246,154,17,14,5,0,0,0,0,3.35,1.19,152
FA,"Tyler Holton RP,SP | DET ",66,94.3,9,77,.173,57,7,0,5,15,8,0,7,2.19,0.78,153
Lewisberg All Blacks,Luis Castillo SP | SEA,30,175.3,30,175,.238,158,25,18,-1,0,0,0,0,3.64,1.17,154
Richmond Hippies,Kevin Gausman SP | TOR ,31,181.0,31,162,.238,165,20,16,3,0,0,0,0,3.83,1.22,162
South Carolina Ballcocks,Tanner Houck SP | BOS ,30,178.7,30,154,.232,156,11,19,-1,0,0,0,0,3.12,1.14,163
Richmond Hippies,Jameson Taillon SP | CHC,28,165.3,28,125,.243,154,21,16,4,0,0,0,0,3.27,1.13,165
Midlothian DeadHeads,Zac Gallen SP | ARI ,28,148.0,28,156,.237,133,13,12,8,0,0,0,0,3.65,1.26,167
FA,"Nick Martinez RP,SP | CIN",42,142.3,16,116,.237,128,13,6,3,7,0,0,5,3.10,1.03,168
Lewisberg All Blacks,Bryan Woo SP | SEA ,22,121.3,22,101,.211,96,14,10,6,0,0,0,0,2.89,0.90,169
Lewisberg All Blacks,Hunter Brown SP | HOU,31,170.0,30,179,.242,156,18,19,2,0,0,0,0,3.49,1.27,175
Southern Playaz,Ranger Suarez SP | PHI,27,150.7,27,145,.243,140,14,11,4,0,0,0,0,3.46,1.20,178
Northern Virginia River Rats,Erick Fedde SP | STL ,31,177.3,31,154,.233,154,20,13,0,0,0,0,0,3.30,1.16,179
Centreville Blue Sox,Yusei Kikuchi SP | LAA ,32,175.7,32,206,.244,167,25,12,-1,0,0,0,0,4.05,1.20,181
South Carolina Ballcocks,Cristopher Sanchez SP | PHI ,31,181.7,31,153,.258,182,11,17,2,0,0,0,0,3.32,1.24,185
Midlothian DeadHeads,Joe Ryan SP | MIN ,23,135.0,23,147,.217,110,19,13,0,0,0,0,0,3.60,0.99,192
FA,Griffin Jax RP | MIN,72,71.0,0,95,.184,47,4,0,0,24,10,6,5,2.03,0.87,195
Lewisberg All Blacks,Nestor Cortes SP | MIL ,31,174.3,30,162,.245,162,24,13,-1,0,0,0,1,3.77,1.15,204
Midlothian DeadHeads,Andres Munoz RP | SEA,60,59.3,0,77,.153,31,6,0,-4,6,22,5,3,2.12,0.96,208
Northern Virginia River Rats,Carlos Estevez RP | KC ,54,55.0,0,50,.192,38,5,0,-1,0,26,5,4,2.45,0.91,211
