Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Zack Collins","CLE",2023,28,1.166666666,0,0,0,0,0,6,4,0.5,1,2,2,0,0,0,0,0,2,0.666666666,0.5,0,0.09026252001323709,0.526146392027537,1.0353325125249835,1.7663975920948,246.67988878355587,-0.030820494517683983,0.333333333,0,1,"Zack Collins",19181,641470
"Chandler Seagle","SDP",2023,27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03342030392131456,0,-0.26441175049591054,-0.14256757056760777,-100,0,0,0,1,"Chandler Seagle",23552,676882
"Jahmai Jones","MIL",2023,25,0.572727272,0,2,3,1,0,11,10,0.2,0.4,1,1,1,0,0,0,0.1,5,0.272727272,0.3,0,-0.041604996148082496,0.2565637772733515,-0.5646769720488223,0.775609007162508,57.159690828004,0.18458975572139025,0.454545454,0.2,0.8,"Jahmai Jones",18872,663330
"Abraham Almonte","NYM",2023,34,0.258333333,0,1,0,0,0,16,15,0.066666666,0.142857142,1,0,1,0,0,0,0.066666667,8,0.125,0.133333333,0,-0.29018924289060494,0.12122907862067223,-2.6196864605827845,-0.6701795817299403,-29.659768943370267,-0.007705123629420996,0.5,0.14285714,0.71428571,"Abraham Almonte",5486,501659
"David Dahl","SDP",2023,29,0.555555555,1,1,1,0,0,9,9,0.111111111,0,0,0,0,0,0,0,0.333333333,2,0.111111111,0.444444444,0,-0.20979899975353442,0.22267733679877388,-0.7152941326723569,0.381303486682368,38.513584891953265,0,0.222222222,0.14285714,0.71428571,"David Dahl",13744,621311
"Cal Mitchell","PIT",2023,24,0.2,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,1,0.2,0,0,-0.08740221810171164,0.13918057680130005,-0.7441079807837386,-0.1348870811422248,-23.75879068611125,-0.007705123629420996,0.2,0,0.66666667,"Cal Mitchell",22169,668751
"Aaron Judge","NYY",2023,31,1.019192556,37,79,75,3,1,458,367,0.267029972,0.30049261,88,45,16,0,5,0,0.346049047,130,0.406113537,0.613079019,3,4.7147903572508,0.4203612742020452,38.79276374827123,94.5973981554339,172.1149568835673,-0.7775133643299341,0.283842794,0.275,0.64166667,"Aaron Judge",15640,592450
"Kevin Padlo","LAA",2023,26,0.375,0,1,0,0,0,8,8,0.125,0.125,0,0,1,0,1,0,0.125,0,0.125,0.25,0,-0.13806115710393238,0.15547029674053192,-1.0823432283113141,-0.10758978888489201,-13.242988069001685,0,0,0.125,0.625,"Kevin Padlo",16593,656821
"Iván Herrera","STL",2023,23,0.76044226,0,6,4,0,0,44,37,0.297297297,0.423076923,5,9,2,0,1,2,0.054054054,11,0.409090909,0.351351351,0,0.29190873771181125,0.34913354163820093,1.1239964964499178,6.48514041329524,121.06687125026043,-0.12328197807073593,0.25,0.07692308,0.61538462,"Ivan Herrera",20599,671056
"Drew Maggi","PIT",2023,34,0.833333333,0,1,1,0,0,6,6,0.333333333,0.4,0,1,1,0,0,0,0.166666667,1,0.333333333,0.5,0,0.03288638495349917,0.35438311100006104,0.17943100873491627,0.9104960883047329,120.50958262384192,-0.007705123629420996,0.166666666,0.2,0.6,"Drew Maggi",11381,543482
"Peyton Burdick","MIA",2023,26,0.603603603,1,4,2,1,0,37,33,0.181818181,0.357142857,3,3,2,0,0,1,0.151515152,18,0.27027027,0.333333333,0,-0.15556827750494973,0.26899846824439794,-1.5172663300005986,2.9909683273466037,63.23362817295882,0.14606413757428527,0.486486486,0.13333333,0.6,"Peyton Burdick",25459,680814
"Ji Man Choi","- - -",2023,32,0.623931623,6,12,13,0,0,117,104,0.163461538,0.169230769,10,6,5,0,2,1,0.221153846,35,0.239316239,0.384615384,2,-0.48781076749072805,0.266868715102856,-5.004788323717415,9.25098072789401,64.04812192990344,-0.13098710170015693,0.299145299,0.1971831,0.5915493,"Ji Man Choi",5452,596847
"Kyle Garlick","MIN",2023,31,0.661904761,2,2,4,0,0,30,28,0.178571428,0.2,2,2,1,0,0,0,0.25,11,0.233333333,0.428571428,0,-0.05021552674613365,0.28029442628224693,-0.9487754801392225,2.706549917709861,75.71015404644767,-0.030820494517683983,0.366666666,0.29411765,0.58823529,"Kyle Garlick",18063,664247
"Michael Pérez","NYM",2023,30,1.125,0,1,0,0,0,8,8,0.5,0.571428571,0,3,1,0,0,0,0.125,1,0.5,0.625,0,0.17229128694434886,0.4864214062690735,1.1165089798519139,2.091262419278336,215.1593882810971,-0.023115370888262987,0.125,0.28571429,0.57142857,"Michael Perez",12977,605421
"Bobby Dalbec","BOS",2023,28,0.570273391,1,6,1,1,0,53,49,0.204081632,0.45,4,7,2,0,0,0,0.102040816,28,0.264150943,0.306122448,0,-0.23741001542307605,0.25382993131313686,-2.8410513640163577,3.616690172183689,50.93010754051181,0.11524364305660129,0.528301886,0.23809524,0.57142857,"Bobby Dalbec",19966,666915
"Jasson Domínguez","NYY",2023,20,0.980449657,4,6,7,1,0,33,31,0.258064516,0.210526315,2,3,1,0,1,0,0.419354838,8,0.303030303,0.677419354,0,0.27783158156967613,0.40301700433095294,2.31976324800913,6.340621185643121,160.0932632581022,0.16147438483312726,0.242424242,0.17391304,0.56521739,"Jasson Dominguez",28080,691176
"Matt Chapman","TOR",2023,30,0.754826209,17,66,54,4,2,581,509,0.239685658,0.319148936,62,64,39,2,4,8,0.184675835,165,0.330464716,0.424361493,2,2.990748383190853,0.3283698886632919,4.822915212959368,75.61438375130327,109.70079362026786,-1.0689375172369182,0.283993115,0.17052023,0.56069364,"Matt Chapman",16505,656305
"Alexander Canario","CHC",2023,23,0.94117647,1,1,6,0,0,17,17,0.294117647,0.5,0,2,1,1,0,0,0.352941176,8,0.294117647,0.647058823,0,-0.004781498420249539,0.38716451560749726,0.9712148630201812,3.0425659218013283,147.64580329387437,-0.015410247258841991,0.470588235,0,0.55555556,"Alexander Canario",22842,672744
"Juan Soto","SDP",2023,24,0.929550072,35,97,109,12,5,708,568,0.274647887,0.29584352,132,88,32,1,18,2,0.24471831,129,0.410183875,0.519366197,5,6.0298876996098265,0.39487367174748716,44.981206960699424,131.2468863499378,153.95128280513023,-1.33617126615718,0.182203389,0.13033708,0.55280899,"Juan Soto",20123,665742
"Ronald Acuña Jr.","ATL",2023,25,1.011971942,41,149,106,73,14,735,643,0.337480559,0.3378119,80,137,35,4,15,9,0.258164853,84,0.41632653,0.595645412,3,9.067409350449385,0.4275971621763511,66.6717016183009,156.22717386560345,170.99252674776318,6.972665043082088,0.114285714,0.15302491,0.55160142,"Ronald Acuna Jr.",18401,660670
"Matt Olson","ATL",2023,29,0.992507309,54,127,139,1,0,720,608,0.282894736,0.301790281,104,88,27,3,13,4,0.320723685,167,0.388888888,0.603618421,4,6.549679204567063,0.4127573844756973,56.43740856294405,144.16521811132205,161.0441746192641,-1.248563239350915,0.231944444,0.16404494,0.5505618,"Matt Olson",14344,621566
"J.D. Martinez","LAD",2023,35,0.892513975,33,61,103,1,0,479,432,0.270833333,0.324324324,34,55,27,2,11,2,0.300925926,149,0.320754716,0.571759259,9,2.425760576865105,0.36935039064964326,20.278736865193924,78.64209905085094,134.85175294645947,-0.4934611236676574,0.311064718,0.17006803,0.54761905,"J.D. Martinez",6184,502110
"Patrick Wisdom","CHC",2023,31,0.789036544,23,43,46,4,2,302,268,0.20522388,0.237037037,30,23,8,1,4,2,0.29477612,111,0.289036544,0.5,1,0.6630943544811724,0.33302526497761675,3.6745462950159284,40.471488633363364,111.35170643449969,-0.46793787414208055,0.367549668,0.19496855,0.54716981,"Patrick Wisdom",13602,621550
"Everson Pereira","NYY",2023,22,0.426558095,0,6,10,4,0,103,93,0.150537634,0.264150943,8,10,4,0,1,2,0.043010753,40,0.233009708,0.193548387,0,-0.5835213618787689,0.20213248081577634,-9.943592180355012,2.6063583522601728,20.855796720406143,0.645897539332509,0.388349514,0.0754717,0.54716981,"Everson Pereira",23695,677592
"Rafael Devers","BOS",2023,26,0.850609756,33,90,100,5,1,656,580,0.270689655,0.29245283,62,90,34,0,15,11,0.229310345,126,0.350609756,0.5,3,3.388227031295892,0.3591708377603407,22.226197593772635,102.15597962673925,123.9441988195994,-0.6009619436226785,0.19207317,0.12691466,0.54704595,"Rafael Devers",17350,646240
"Marco Luciano","SFG",2023,21,0.64102564,0,4,0,1,0,45,39,0.23076923,0.409090909,6,6,3,0,0,0,0.076923077,17,0.333333333,0.307692307,0,0.1211767390945891,0.29337604840596515,-0.934267398846724,4.548720697926901,84.1898320325871,0.10753851942718029,0.377777777,0,0.54545455,"Marco Luciano",25616,682617
"Yandy Díaz","TBR",2023,31,0.931904761,22,95,78,0,1,600,525,0.329523809,0.367396593,65,116,35,0,16,8,0.192380952,94,0.41,0.521904761,2,4.98854479557079,0.40172955542802813,41.53597400830763,114.64248196528929,163.2356909775227,-1.8783464091829956,0.156666666,0.09468822,0.5404157,"Yandy Diaz",16578,650490
"Shohei Ohtani","LAA",2023,28,1.066381453,44,102,95,20,6,599,497,0.303822937,0.341853035,91,73,26,8,9,3,0.350100604,143,0.412457912,0.653923541,3,6.543641572821004,0.43348226798974615,57.26284707788401,130.24751085493736,179.4532030886358,0.3425837503746152,0.238731218,0.19337017,0.53314917,"Shohei Ohtani",19755,660271
"Corey Seager","TEX",2023,29,1.012566882,33,88,96,2,1,536,477,0.327044025,0.339779005,49,81,42,0,9,4,0.295597484,88,0.389925373,0.622641509,6,6.295414999227127,0.4185934797410042,44.61245680124422,109.9209372428145,170.91323881977186,-0.9852184909395874,0.164179104,0.15189873,0.53164557,"Corey Seager",13624,608369
"Dane Myers","MIA",2023,27,0.64392324,1,9,9,1,1,70,67,0.268656716,0.354166666,2,14,3,0,1,0,0.089552239,19,0.285714285,0.358208955,1,-0.0949949431508392,0.27832424300057546,-2.328346737801631,6.200745857179563,69.48547998752032,-0.34536001831293106,0.271428571,0.02040816,0.53061224,"Dane Myers",22054,667472
"Joey Gallo","MIN",2023,29,0.740921131,21,39,40,1,1,332,282,0.177304964,0.243697478,48,19,9,1,3,2,0.262411348,142,0.301204819,0.439716312,0,0.8006688157273019,0.31956609948524173,0.3285035836116288,40.780771319808146,102.93021155908237,-0.7460264470428228,0.427710843,0.18571429,0.52857143,"Joey Gallo",14128,608336
"Luken Baker","STL",2023,26,0.627084801,2,9,10,0,0,99,86,0.209302325,0.301886792,13,13,3,0,1,0,0.104651163,31,0.313131313,0.313953488,0,-0.3713358727894699,0.2854463482143903,-2.7073681277926527,9.355205685109322,78.37198463966214,-0.2003332143649459,0.313131313,0.07272727,0.52727273,"Luken Baker",21497,663609
"Heston Kjerstad","BAL",2023,24,0.747916666,2,3,3,0,0,33,30,0.233333333,0.277777777,2,4,1,0,0,0,0.233333333,10,0.28125,0.466666666,0,0.08860946836407546,0.3179345428943634,-0.012063056179170134,4.008794881454821,103.73727002206022,-0.046230741776525974,0.303030303,0.19047619,0.52380952,"Heston Kjerstad",31166,677008
"Joc Pederson","SFG",2023,31,0.764436411,15,59,51,0,0,425,358,0.234636871,0.26848249,57,52,14,3,12,7,0.181564246,89,0.348235294,0.416201117,3,0.7351698963456652,0.33089661199892906,4.419793899569919,56.2035703690986,109.34302409597647,-0.8475635992363095,0.209411764,0.11764706,0.52205882,"Joc Pederson",11899,592626
"Yordan Alvarez","HOU",2023,26,0.990184893,31,77,97,0,0,496,410,0.292682926,0.305841924,69,64,24,1,7,13,0.290243903,92,0.407258064,0.582926829,4,4.304968167790104,0.41548739759111114,40.00367918663344,100.43839243107162,170.27996121295638,-1.0864224317483604,0.18548387,0.18012422,0.52173913,"Yordan Alvarez",19556,670541
"Julio Rodríguez","SEA",2023,22,0.818042813,32,102,103,37,10,714,654,0.275229357,0.32962138,47,109,37,2,14,11,0.209480123,175,0.333333333,0.48470948,2,5.780305967296649,0.3474612170356815,17.247741787278972,104.24448625608716,127.93797307317917,1.9386947737075388,0.245098039,0.11850312,0.51975052,"Julio Rodriguez",23697,677594
"Evan Longoria","ARI",2023,37,0.717159596,11,25,28,0,0,237,211,0.222748815,0.276923076,23,27,9,0,8,0,0.199052132,73,0.295358649,0.421800947,3,0.24062233699188063,0.3083255861881916,-1.9779624244550704,26.899108218552684,90.59051716458761,-0.3852561814710498,0.308016877,0.10638298,0.5177305,"Evan Longoria",9368,446334
"Gunnar Henderson","BAL",2023,22,0.814044556,28,100,82,10,3,622,560,0.255357142,0.305851063,56,77,29,9,10,3,0.233928572,159,0.324758842,0.489285714,3,4.7460620951220855,0.34575130091005285,14.142045366045588,89.92912528144991,123.01767473230231,-0.30642578983679414,0.255627009,0.11386139,0.51732673,"Gunnar Henderson",26289,683002
"Darin Ruf","- - -",2023,36,0.619047618,0,3,3,0,0,57,49,0.224489795,0.333333333,8,8,3,0,0,0,0.06122449,16,0.333333333,0.285714285,0,-0.13783193251553977,0.2869965005339238,-1.4854053892972026,5.459712866616055,78.67530662409936,-0.12328197807073593,0.280701754,0.12121212,0.51515152,"Darin Ruf",9929,573131
"Ryan O'Hearn","BAL",2023,29,0.801294671,14,48,60,5,1,368,346,0.289017341,0.339920948,15,63,22,1,2,3,0.190751445,82,0.321525885,0.479768786,3,1.545515569782663,0.33921512708272017,6.369374468230369,51.208032681845786,118.48730938288281,-0.030782795045524836,0.222826086,0.10074627,0.51492537,"Ryan O'Hearn",16442,656811
