Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",2023,31,0.857663054,18,54,44,2,0,362,308,0.262987012,0.335106382,45,48,14,1,4,7,0.227272728,104,0.367403314,0.49025974,2,2.8746497224934315,0.3678413020239936,14.871778856348293,58.979371990393894,133.9560107602879,-0.3551021097227931,0.287292817,0.16019417,0.51456311,"Mike Trout",10155,545361
"Josh Donaldson","- - -",2023,37,0.666859066,13,18,26,0,0,189,165,0.151515151,0.115384615,22,7,5,0,6,0,0.266666667,50,0.248677248,0.418181818,2,0.07509306024147676,0.28444273951192384,-5.326143752477574,17.70240625397165,77.03929081335907,-0.22344858525320888,0.264550264,0.16239316,0.51282051,"Josh Donaldson",5038,518626
"Mark Vientos","NYM",2023,23,0.620191361,9,19,22,1,0,233,218,0.211009174,0.264285714,10,31,5,1,5,3,0.155963303,71,0.253218884,0.366972477,2,-0.7615685908187975,0.2674687161977711,-9.850695878625967,18.538998044668578,68.37696982105001,-0.13902543671429157,0.30472103,0.10738255,0.51006711,"Mark Vientos",22184,668901
"Paul Goldschmidt","STL",2023,35,0.809854029,25,89,80,11,2,687,593,0.268128161,0.326829268,87,103,31,0,12,3,0.178752108,161,0.36297376,0.446880269,3,3.379582128430336,0.35015650163678563,18.13332943748127,101.84028104822526,121.75264744479477,-0.08501417236402631,0.234352256,0.11926606,0.50688073,"Paul Goldschmidt",9218,502671
"Maikel Garcia","KCR",2023,23,0.680715818,4,59,50,23,7,515,464,0.271551724,0.343661971,38,98,20,4,9,2,0.086206896,115,0.322957198,0.35775862,10,2.0636523865587866,0.2987392431103302,-8.398279143415348,54.35147351966058,83.37756447423375,0.5821467051282525,0.22330097,0.03888889,0.50555556,"Maikel Garcia",22715,672580
"Spencer Torkelson","DET",2023,23,0.758410051,31,88,94,3,0,684,606,0.232673267,0.268948655,67,75,34,1,15,6,0.212871287,171,0.312865497,0.445544554,5,1.454574188688789,0.32570952534850134,4.16666401303352,87.50808308399262,107.70043368246431,-0.5326531645841897,0.25,0.14090909,0.50454545,"Spencer Torkelson",27465,679529
"Johan Camargo","SFG",2023,29,0.522222222,0,0,2,0,0,20,18,0.222222222,0.285714285,1,4,0,0,2,1,0,4,0.3,0.222222222,0,-0.17388320069189006,0.24760265350341798,-1.1755305520101156,1.2613530465559397,53.50407246171956,-0.046230741776525974,0.2,0,0.5,"Johan Camargo",14950,622666
"Austin Meadows","DET",2023,28,0.523809523,0,0,2,0,0,21,21,0.238095238,0.277777777,0,4,1,0,0,0,0.047619047,3,0.238095238,0.285714285,0,-0.07784621712728129,0.22732893058231898,-1.5878930405405138,0.9708347379538442,39.51068699607973,-0.030820494517683983,0.142857142,0,0.5,"Austin Meadows",15672,640457
"Brian O'Keefe","SEA",2023,29,0.401002505,0,0,2,0,0,21,19,0.105263157,0.166666666,2,0,2,0,2,0,0.105263158,7,0.19047619,0.210526315,0,-0.20019397814001116,0.18473002456483387,-2.330843665710553,0.22788411278380505,15.145416584439896,-0.015410247258841991,0.333333333,0,0.5,"Brian O'Keefe",16680,657247
"Cooper Hummel","SEA",2023,28,0.322742474,0,2,0,1,0,26,23,0.086956521,0.142857142,2,1,1,0,1,1,0.043478261,9,0.192307692,0.130434782,0,-0.27446222074412674,0.16323497891426086,-3.3499517157970224,-0.18200303766115078,0.2467292832661202,0.16917950846254826,0.346153846,0,0.5,"Cooper Hummel",19458,669450
"Tres Barrera","STL",2023,28,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11607593550785099,0,-0.5288235009918211,-0.28513514113521554,-100,0,0,0,0.5,"Tres Barrera",19977,668663
"Connor Kaiser","COL",2023,26,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,-0.04975546564301092,0,-1.0576470019836421,-0.5702702822704311,-100,0,0.5,0.5,0.5,"Connor Kaiser",21535,663731
"Christopher Morel","CHC",2023,24,0.82081607,26,62,70,6,2,429,388,0.24742268,0.303030303,36,50,17,3,7,2,0.260309278,133,0.313084112,0.507731958,2,1.6087804433511728,0.3471691190639389,10.259068376206578,62.53022156544847,120.833522385061,-0.3222069479525089,0.31002331,0.15503876,0.5,"Christopher Morel",21897,666624
"Jeter Downs","WSN",2023,24,1.066666666,0,4,1,2,0,9,5,0.4,0.5,4,2,0,0,0,0,0,1,0.666666666,0.4,0,0.07063162938119007,0.5054093466864692,1.3979988044288802,2.494596423783605,224.7216848625763,0.3537692641839385,0.111111111,0,0.5,"Jeter Downs",22202,669023
"Sam Huff","TEX",2023,25,0.800516794,3,5,6,0,0,45,43,0.255813953,0.347826086,2,6,2,0,1,0,0.255813953,17,0.288888888,0.511627906,0,0.12258120248965335,0.33748525248633493,0.7142136040865652,6.197201700860189,114.69534865736387,-0.061640989035367966,0.377777777,0.15384615,0.5,"Sam Huff",22209,669087
"Michael Siani","- - -",2023,23,0.166666666,0,1,0,1,1,6,5,0,0,1,0,0,0,0,0,0,1,0.166666666,0,0,-0.1311006318404918,0.11598381400108337,-1.008519731279649,-0.2774546517098325,-25.741624895342,-0.22978316387161613,0.166666666,0,0.5,"Michael Siani",22557,672279
"TJ Hopkins","CIN",2023,26,0.398004434,0,7,1,1,0,44,41,0.170731707,0.291666666,2,7,0,0,1,1,0,17,0.227272727,0.170731707,0,-0.5280905112865488,0.18853556432507254,-4.744609584052927,0.6165343327923944,5.419228688095854,0.12294876668602228,0.386363636,0,0.5,"TJ Hopkins",25482,686759
"Michael Busch","LAD",2023,25,0.538580246,2,9,7,1,0,81,72,0.166666666,0.227272727,8,7,3,0,0,0,0.125,27,0.24691358,0.291666666,1,-0.545462919568966,0.24054884321895648,-5.235414893671789,4.633963680520735,48.50523385543595,0.0844231485389173,0.333333333,0.06521739,0.5,"Michael Busch",26319,683737
"Matt Mervis","CHC",2023,25,0.53131313,3,8,11,0,0,99,90,0.166666666,0.218181818,8,10,2,0,1,1,0.122222222,32,0.242424242,0.288888888,0,-0.6452315103731603,0.23856973587864577,-6.56156260630544,5.501011206596534,48.0302145014463,-0.14639734895899892,0.323232323,0.13793103,0.5,"Matt Mervis",27845,670223
"Christian Yelich","MIL",2023,31,0.817525891,19,106,76,28,3,632,550,0.278181818,0.341836734,78,99,34,1,15,3,0.169090909,140,0.370253164,0.447272727,1,3.787498389194429,0.3534285181045532,18.399020382210505,95.40454209689786,122.09628018015732,3.0007795658893883,0.221518987,0.09245742,0.49878345,"Christian Yelich",11477,592885
"Adolis García","TEX",2023,30,0.835639753,39,108,107,9,1,632,555,0.245045045,0.279538904,65,68,29,0,12,6,0.263063063,175,0.327531645,0.508108108,6,4.576810771156411,0.3541630371650563,18.784554094345975,95.79007580903333,126.25508678697113,0.3069097991101444,0.276898734,0.16062176,0.49740933,"Adolis Garcia",19287,666969
"MJ Melendez","KCR",2023,24,0.713363209,16,65,56,6,4,602,533,0.234521575,0.31054131,62,75,29,5,4,3,0.163227017,170,0.315614617,0.397748592,4,0.24976757129919835,0.3101689737041791,-4.102564144793079,69.24763217204519,91.29976128286789,-1.5516192158684134,0.282392026,0.11444142,0.49591281,"MJ Melendez",22197,669004
"Trevor Larnach","MIN",2023,26,0.7266213,8,26,40,1,1,212,183,0.213114754,0.295238095,27,21,7,3,2,0,0.202185792,72,0.311320754,0.415300546,2,0.19909173716874257,0.3131395228101179,-0.9217410087466792,24.909225136053507,98.47581039817416,-0.5842188508249819,0.339622641,0.13274336,0.49557522,"Trevor Larnach",21501,663616
"Brent Rooker","OAK",2023,28,0.817018288,30,61,69,4,0,526,463,0.246220302,0.316981132,49,63,20,1,11,10,0.241900648,172,0.328897338,0.48812095,4,2.1119397730548584,0.34824794133504233,13.049996620666821,77.14003526295407,126.08690114436891,-0.13231994723901153,0.326996197,0.1559322,0.49491525,"Brent Rooker",19627,667670
"Daniel Vogelbach","NYM",2023,30,0.742194356,13,33,48,0,0,319,275,0.232727272,0.281767955,42,43,8,0,6,2,0.170909091,81,0.338557993,0.403636363,0,0.18259680898925246,0.3268441391066185,2.2438193210533055,41.11211271818188,108.18131371292257,-0.6626406321302056,0.253918495,0.09278351,0.49484536,"Daniel Vogelbach",14130,596129
"Teoscar Hernández","SEA",2023,30,0.740509734,26,70,93,7,2,678,625,0.2576,0.341772151,38,104,29,2,6,8,0.1776,211,0.305309734,0.4352,7,1.944957974557107,0.31650540761693696,-1.0525618062789193,81.55779218511034,106.4818230290265,-0.5845143627375364,0.311209439,0.13776722,0.49406176,"Teoscar Hernandez",13066,606192
"Jake Burger","- - -",2023,27,0.827551941,34,71,80,1,1,540,492,0.25,0.284345047,32,60,28,1,4,12,0.268292682,149,0.309259259,0.518292682,4,2.2310013487150195,0.34901223580042523,13.740100104825324,79.53595726610882,119.8647088113422,-1.0234108977019787,0.275925925,0.16714697,0.49279539,"Jake Burger",22275,669394
"Vladimir Guerrero Jr.","TOR",2023,24,0.788096374,26,78,94,5,3,682,602,0.264119601,0.277083333,67,103,30,0,23,9,0.179401993,100,0.34457478,0.443521594,4,1.292042812175755,0.33973505181787284,12.0986001014393,95.1963308125418,117.57823732145904,-1.6069256262853742,0.146627565,0.11067194,0.49209486,"Vladimir Guerrero Jr.",19611,665489
"Wilyer Abreu","BOS",2023,24,0.861919504,2,10,14,3,1,85,76,0.315789473,0.431372549,9,16,6,0,0,0,0.157894737,23,0.388235294,0.47368421,0,0.6300395886549575,0.3747585051199969,3.980297827497978,14.337053121403713,134.7483527405305,-0.014706125017255545,0.270588235,0.09433962,0.49056604,"Wilyer Abreu",23772,677800
"Marcell Ozuna","ATL",2023,32,0.904774349,40,84,100,0,0,592,530,0.273584905,0.293296089,57,75,29,1,9,3,0.284905661,134,0.346283783,0.558490566,2,3.1559728805986316,0.3809485860080687,30.765012145420105,102.89676666297534,139.72005950623986,-1.0324865663424134,0.226351351,0.16582915,0.48994975,"Marcell Ozuna",10324,542303
"Fernando Tatis Jr.","SDP",2023,24,0.770462213,25,91,78,29,4,635,575,0.257391304,0.298543689,53,89,33,1,17,3,0.191304348,141,0.321766561,0.448695652,3,4.101648508624793,0.3317382063023299,7.04752417688089,84.41857843135314,111.62626590023154,2.994444987270981,0.222047244,0.10958904,0.48858447,"Fernando Tatis Jr.",19709,665487
"Austin Riley","ATL",2023,26,0.861177815,37,117,97,3,1,715,636,0.28144654,0.324200913,59,107,32,3,18,9,0.23427673,172,0.345454545,0.51572327,11,5.110752090192808,0.3627266293671899,26.33666836422294,113.45525701295941,127.50434813977395,-1.139654174912721,0.24055944,0.13894737,0.48842105,"Austin Riley",18360,663586
"Tommy Pham","- - -",2023,35,0.774491717,16,55,68,22,3,481,426,0.255868544,0.3,47,63,27,3,11,2,0.190140845,106,0.328482328,0.446009389,6,1.909565220429701,0.3321188479661942,5.505895179059435,64.11294572457307,109.40813828658865,2.2784972130320966,0.22037422,0.10736196,0.48773006,"Tommy Pham",2967,502054
"Sam Hilliard","ATL",2023,29,0.725427349,3,15,6,4,0,78,72,0.236111111,0.388888888,6,9,5,0,1,0,0.194444444,33,0.294871794,0.430555555,0,0.09034589814289053,0.31217107558861756,-0.4018665403640892,9.101979494043526,93.61270493690091,0.684423157479614,0.423076923,0.07692308,0.48717949,"Sam Hilliard",17954,656541
"Brandon Marsh","PHI",2023,25,0.829470685,12,58,60,10,2,472,404,0.277227722,0.396825396,59,69,25,6,4,4,0.18069307,144,0.371549893,0.457920792,4,3.5415360567988885,0.35825563964050716,15.633264090750187,73.1437170169091,125.11369903648392,0.1541778715327382,0.305084745,0.09056604,0.48679245,"Brandon Marsh",20202,669016
"Michael Harris II","ATL",2023,22,0.80808274,18,76,57,20,4,539,505,0.293069306,0.334190231,25,94,33,3,8,5,0.184158416,101,0.330855018,0.477227722,3,3.8175970798592864,0.3447199068699913,11.793228107074876,77.46724108843007,115.43292633711408,1.3639576802961528,0.187384044,0.1004902,0.48529412,"Michael Harris II",25931,671739
"Kyle Schwarber","PHI",2023,30,0.816559828,47,108,104,0,2,720,585,0.196581196,0.208588957,126,48,19,1,4,6,0.276923077,215,0.343055555,0.473504273,3,0.9684288853345477,0.35009074886362035,18.96504496789073,106.69285451626872,119.64008547045147,-2.192552721593529,0.298611111,0.16353887,0.48525469,"Kyle Schwarber",16478,656941
"Nolan Gorman","STL",2023,23,0.805418718,27,59,76,7,2,464,406,0.236453201,0.296137339,53,52,17,0,5,3,0.241379311,148,0.327586206,0.477832512,2,2.226263244284363,0.34451707431616074,10.074078499970618,66.6097779867031,117.97206461394936,-0.2686042939312756,0.318965517,0.16538462,0.48461538,"Nolan Gorman",22263,669357
"William Contreras","MIL",2023,25,0.824620521,17,86,78,6,1,611,540,0.288888888,0.348370927,63,100,38,1,23,5,0.168518519,126,0.367213114,0.457407407,2,5.74813425786585,0.3572947347634717,19.749527742594616,94.19632167878761,124.68813064475664,-0.5011285478249192,0.206219312,0.09352518,0.48441247,"William Contreras",20503,661388
"Christian Encarnacion-Strand","CIN",2023,23,0.805278306,13,29,37,2,0,241,222,0.27027027,0.335714285,14,40,7,0,5,5,0.207207207,69,0.327800829,0.477477477,0,0.6120967440581049,0.34619793431887486,5.568868599249229,34.933315961970195,111.11358649798069,-0.05460228817537427,0.286307053,0.10457516,0.48366013,"Christian Encarnacion-Strand",30011,687952
"Ke'Bryan Hayes","PIT",2023,26,0.762012723,15,65,61,10,6,525,494,0.27125506,0.314814814,28,81,31,7,11,0,0.182186235,104,0.308571428,0.453441295,3,3.169710593585788,0.32418883972950563,2.5350555089598132,66.50324997131877,100.26782099356663,-1.3646215815097094,0.198095238,0.07379135,0.48346056,"Ke'Bryan Hayes",18577,663647
"Kyle Higashioka","NYY",2023,33,0.687354414,10,24,34,0,0,260,242,0.23553719,0.291925465,14,34,13,0,5,0,0.17768595,74,0.274131274,0.41322314,3,1.3337302068132697,0.2932770095736824,-5.419374997403533,26.260111783955185,84.03006744546902,-0.3698459342122078,0.284615384,0.11046512,0.48255814,"Kyle Higashioka",5517,543309
