Season,Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
2025,"Adrian Houser","TEX","AAA",32,1,0,3.857142857142857,4,4,0,0,0,0,,21,82,14,9,9,4,5,0,2,0,0,23,9.857142857142858,2.142857142857143,4.6,1.7142857142857142,0.2804878,0.06097561,0.2195122,0.18666667,0.9047619047619048,0.20833333,0.77922078,3.857142857142857,4.998222201211112,-1.1410793440682547,3.9138014896994546,0.20833333,1.933333333,0.137254901,0.56862745,0.294117647,0,0.266666666,0.38461538,0.23076923,0.38461538,0.09459459,100,196,296,"12718"
2025,"Chris Devenski","NYM","AAA",34,0,0,2.0769246005458837,4,0,0,0,1,0,,4.1,15,3,1,1,1,0,0,0,0,0,4,8.307698402183535,0,4,2.0769246005458837,0.26666667,0,0.26666667,0.2,0.6923082001819612,0.2,1,2.0769246005458837,4.695728752317429,-2.618804151771545,2.7019384885479756,0.2,2,0.181818181,0.545454545,0.272727272,0,0.333333333,0.36363636,0.54545455,0.09090909,0.18518519,20,34,54,"12763"
2025,"Andrew Chafin","DET","AAA",35,2,0,4.04999806881043,7,0,0,0,0,2,,6.2,30,8,4,3,0,2,0,0,2,0,9,12.149994206431291,2.6999987125402867,4.5,0,0.3,0.06666667,0.23333333,0.28571429,1.4999992847446038,0.42105263,0.6,4.04999806881043,1.7418826103206357,2.308115458489794,3.0499565451086554,0.42105263,1.666666666,0.111111111,0.555555555,0.333333333,0.333333333,0,0.36842105,0.21052632,0.42105263,0.15079365,47,79,126,"12988"
2025,"Colten Brewer","NYY","AAA",32,0,0,1.5,5,0,0,0,1,0,,6,22,3,1,1,0,2,0,0,0,0,6,9,3,3,0,0.27272727,0.09090909,0.18181818,0.15,0.8333333333333334,0.21428571,0.8,1.5,2.5418817520141612,-1.0418817520141608,3.268589840084315,0.21428571,2.333333333,0.285714285,0.5,0.214285714,0.333333333,0,0.35714286,0.21428571,0.42857143,0.13414634,32,50,82,"12997"
2025,"Jordan Weems","ATL","AAA",32,0,0,3.8571402296745916,4,0,0,0,0,0,,4.2,20,4,3,2,2,2,0,0,0,0,6,11.571420689023775,3.8571402296745916,3,3.8571402296745916,0.3,0.1,0.2,0.22222222,1.2857134098915306,0.2,0.9375,3.8571402296745916,7.827593118319262,-3.9704528886446706,3.5019527873338734,0.2,1.25,0.25,0.416666666,0.333333333,0.25,0.5,0.41666667,0.25,0.33333333,0.15662651,33,50,83,"13190"
2025,"Michael Fulmer","BOS","AAA",32,0,2,3.0857134449240973,3,2,0,0,0,0,,11.2,48,7,6,4,1,6,0,1,1,0,18,13.885710502158437,4.628570167386146,3,0.7714283612310243,0.375,0.125,0.25,0.17073171,1.114285410667035,0.27272727,0.63492063,3.0857134449240973,3.3704532272961547,-0.28473978237205744,3.1282172846986818,0.27272727,1.285714285,0.272727272,0.409090909,0.318181818,0.285714285,0.142857142,0.52173913,0.30434783,0.17391304,0.13917526,75,119,194,"13218"
2025,"Jesse Hahn","SEA","AAA",35,0,0,0,1,0,0,0,0,0,,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333333,1,0.33333333,1,0,3.7125079154968263,-3.7125079154968263,5.660985586047173,0.33333333,2,0,0.666666666,0.333333333,0,0,0,0,1,0,3,3,6,"13287"
2025,"Matt Bowman","BAL","AAA",34,0,0,5.399989314100431,1,0,0,0,0,0,,1.2,6,1,1,1,0,0,0,0,0,0,3,16.199967942301292,0,3,0,0.5,0,0.5,0.16666667,0.5999988126778256,0.33333333,0,5.399989314100431,-0.05811112405279362,5.458100438153224,-0.05811112405279362,0.33333333,3,0,1,0,0,0,0.66666667,0,0.33333333,0.06666667,12,18,30,"13528"
2025,"Carl Edwards Jr.","LAA","AAA",33,0,0,1.8,5,1,0,0,1,0,,10,43,11,5,2,1,2,0,1,0,0,11,9.9,1.8,5.5,0.9,0.25581395,0.04651163,0.20930233,0.275,1.3,0.35714286,0.71428571,1.8,3.7125079154968263,-1.9125079154968263,3.581594517827034,0.35714286,2.666666666,0.214285714,0.571428571,0.214285714,0,0.166666666,0.44827586,0.34482759,0.20689655,0.10674157,64,114,178,"13607"
2025,"Joey Krehbiel","TBR","AAA",32,0,0,5.4,4,0,0,0,0,0,,5,27,9,3,3,0,1,0,0,0,0,5,9,1.8,5,0,0.18518519,0.03703704,0.14814815,0.34615385,2,0.42857143,0.7,5.4,2.1418817520141604,3.25811824798584,3.8859811633825303,0.42857143,1,0.4,0.3,0.3,0,0,0.28571429,0.42857143,0.28571429,0.11504425,35,78,113,"13707"
