Name,Team,Season,Age,OPS,HR,R,RBI,SB,CS,PA,AB,AVG,BABIP,BB,H,1B,2B,3B,GDP,HBP,ISO,SO,OBP,SLG,SF,WAR,wOBA,wRAA,wRC,wRC+,wSB,K%,Barrel%,HardHit%,NameASCII,PlayerId,MLBAMID
"Justin Turner","- - -",2024,39,0.73696862,11,59,55,0,2,539,460,0.258695652,0.299168975,59,119,84,24,0,16,13,0.123913043,95,0.354359925,0.382608695,7,1.1844595098768527,0.32655321508368523,7.116570848537485,70.16775145710807,116.63779364930163,-2.0254458636045456,0.176252319,0.04569892,0.32526882,"Justin Turner",5235,457759
"Andy Ibáñez","DET",2024,31,0.652224824,5,30,32,2,3,244,224,0.241071428,0.310126582,15,54,39,9,1,2,3,0.116071429,63,0.295081967,0.357142857,2,0.7732797899314857,0.2869353824463047,-4.564730584149317,23.977918893570944,86.81764649363906,-1.2648872956633568,0.258196721,0.04907975,0.32515337,"Andy Ibanez",18819,628451
"Will Brennan","CLE",2024,26,0.696660656,8,37,30,4,2,353,330,0.263636363,0.287272727,19,87,64,13,2,9,3,0.124242424,48,0.308781869,0.387878787,1,0.47126325667853886,0.30253500952000634,-2.171793518725728,39.12146576666465,97.8432974834259,-0.6729762852191925,0.135977337,0.0459364,0.32508834,"Will Brennan",25660,686823
"Alex Call","WSN",2024,29,0.950031286,3,15,14,5,1,113,99,0.343434343,0.402597402,12,34,22,9,0,2,2,0.181818182,19,0.424778761,0.525252525,0,1.1649812571285918,0.4119153708483266,9.252839546754803,22.471361640944924,167.27761585222754,0.3108664005994797,0.168141592,0.05,0.325,"Alex Call",19296,669743
"Luis Rengifo","LAA",2024,27,0.763495783,6,41,30,24,7,304,283,0.300353356,0.339055793,16,85,65,13,1,6,4,0.116607774,44,0.346534653,0.41696113,0,1.4476819534939298,0.3346977892881966,5.999184456919313,41.56051823243964,117.45198829820276,1.2940993085503578,0.144736842,0.025,0.325,"Luis Rengifo",19858,650859
"Jacob Amaya","- - -",2024,25,0.413398692,0,4,3,1,0,72,68,0.176470588,0.3,4,12,11,1,0,3,0,0.014705882,28,0.222222222,0.19117647,0,-0.32065665811709054,0.1904137060046196,-6.940396143397543,1.4820250139625333,17.452568573113233,0.08161366730928421,0.388888888,0.025,0.325,"Jacob Amaya",23296,676070
"Cody Bellinger","CHC",2024,28,0.751488399,18,72,78,9,2,569,516,0.265503875,0.287439613,45,137,93,23,3,10,3,0.160852714,89,0.32513181,0.426356589,5,2.206355760199244,0.32181783715176837,5.330161837654315,71.89068459512491,108.81758251427196,-0.0675973892211914,0.156414762,0.0625,0.32407407,"Cody Bellinger",15998,641355
"Evan Carter","TEX",2024,21,0.632716049,5,23,15,2,0,162,144,0.1875,0.226804123,15,27,14,6,2,1,2,0.173611111,43,0.271604938,0.361111111,1,0.10595265354767971,0.2782459454036053,-4.163674804302029,14.786772799758143,79.53195038692843,0.15533491224050522,0.265432098,0.05882353,0.32352941,"Evan Carter",27790,694497
"Javier Sanoja","MIA",2024,21,0.535714285,0,3,2,0,0,36,35,0.228571428,0.258064516,1,8,6,2,0,2,0,0.057142857,4,0.25,0.285714285,0,-0.17796925444467634,0.23578575750192007,-2.1555439811683215,2.055666597511717,45.74452322110913,-0.05524695664644241,0.111111111,0,0.32258065,"Javier Sanoja",28253,691594
"David Hamilton","BOS",2024,26,0.697396939,8,47,28,33,4,317,294,0.248299319,0.31553398,22,73,47,17,1,1,1,0.146258504,80,0.302839116,0.394557823,0,1.6574854424274685,0.3048386513622777,-1.3625545673670616,35.719494139343276,92.42484923903336,4.427504897117615,0.25236593,0.05607477,0.32242991,"David Hamilton",27531,666152
