Name,Team,Season,Age,QS,K/9,ERA,WHIP,SV,HLD,BS,WAR,G,IP,GS,CG,TBF,W,L,H,R,ER,xERA,AVG,BABIP,SO,K%,K/BB,K-BB%,BB,IBB,HBP,BB/9,BB%,FIP,xFIP,GB%,HR,HR/9,LOB%,BK,WP,ShO,Pitches,Balls,Strikes,NameASCII,PlayerId,MLBAMID
"Dallas Keuchel","MIN",2023,35,1,5.97345173074177,5.97345173074177,1.6725664846076955,0,0,0,0.15955612435936928,10,37.2,6,0,172,2,1,45,25,25,5.59,0.29605263157894735,0.3387096774193548,25,0.14534884,1.38888889,0.04069768,18,0,2,4.300885246134074,0.10465116,4.555925403080834,4.837356022573364,0.527559055,3,0.7168142076890124,0.65789474,0,2,0,658,255,403,"Dallas Keuchel",9434,572971
"Keaton Winn","SFG",2023,25,2,7.440945105393331,4.677165494818665,1.0393701099597032,1,0,0,0.21520942449569702,9,42.1,5,0,172,1,3,36,22,22,4.3,0.22641509433962265,0.2542372881355932,35,0.20348837,4.375,0.15697675,8,0,5,1.7007874526613327,0.04651163,4.365276613317663,3.8897012774955098,0.579831932,6,1.2755905894959996,0.66502463,0,1,0,594,191,403,"Keaton Winn",23499,676775
"Mauricio Llovera","- - -",2023,27,0,7.457144076289162,4.885715084465313,1.4571430953668478,0,0,1,0.07200116291642189,30,35,0,0,160,2,3,36,25,19,4.93,0.2553191489361702,0.30275229357798167,29,0.18125,1.93333333,0.0875,15,3,4,3.8571434877357733,0.09375,4.340754822711584,4.785343691977637,0.468468468,3,0.7714286975471547,0.59055118,0,1,0,621,219,402,"Mauricio Llovera",20080,661440
"Trevor Megill","MIL",2023,29,0,13.50000099035417,3.6346156512491996,1.3557693302278762,0,4,1,0.8371454328298569,31,34.2,2,0,148,1,0,35,14,14,3.23,0.25925925925925924,0.4074074074074074,52,0.35135135,4.33333333,0.27027027,12,0,1,3.1153848439278855,0.08108108,2.1300402769675566,3.144675396482122,0.304878048,2,0.5192308073213142,0.75221239,0,2,0,602,205,397,"Trevor Megill",17722,656730
"Thaddeus Ward","WSN",2023,26,0,7.641510533964126,6.367925444970105,1.6132077793924267,0,0,0,-0.4503849446773529,26,35.1,0,0,160,0,0,29,26,25,5.52,0.2230769230769231,0.23655913978494625,30,0.1875,1.07142857,0.0125,28,1,2,7.1320764983665175,0.175,6.679569154347661,5.975816321664626,0.454545454,7,1.7830191245916294,0.67073171,0,1,0,681,284,397,"Thaddeus Ward",21513,663658
"Dylan Dodd","ATL",2023,25,1,3.9320389805780422,7.601942029117549,1.89320395361165,0,0,0,-0.5197495818138123,7,34.1,7,0,164,2,2,53,29,29,8.37,0.3509933774834437,0.3464566929133858,15,0.09146341,1.25,0.01829268,12,1,1,3.1456311844624336,0.07317073,6.924943408036576,6.5028407344883075,0.355555555,9,2.3592233883468254,0.6928839,0,1,0,568,171,397,"Dylan Dodd",29928,689266
"Ryan Helsley","STL",2023,28,0,12.76363857679169,2.454545880152248,1.0636365480659742,14,2,5,1.4922027587890625,33,36.2,0,0,146,3,4,22,11,10,2.25,0.171875,0.28,52,0.35616438,3.05882353,0.23972603,17,1,1,4.172727996258821,0.11643836,2.2459492754344796,3.2441463381127407,0.407894736,1,0.2454545880152248,0.75129534,1,3,0,610,219,391,"Ryan Helsley",18138,664854
"Matt Koch","COL",2023,32,0,6.284483791957031,5.120690497150174,1.2931036608965085,0,6,1,-0.0697159692645073,39,38.2,1,0,163,3,2,41,22,22,4.55,0.26973684210526316,0.288135593220339,27,0.16564417,3,0.11042945,9,0,2,2.094827930652344,0.05521472,5.065385484752182,4.4223009865465865,0.491935483,7,1.6293106127296009,0.71090047,0,0,0,584,196,388,"Matt Koch",13420,571863
"José Suarez","LAA",2023,25,0,7.485149080268866,8.287129338869102,1.9603961876894649,0,0,0,-0.481950294226408,11,33.2,7,0,165,1,3,46,32,31,6.04,0.3194444444444444,0.33962264150943394,28,0.16969697,1.4,0.04848485,20,1,1,5.346535057334904,0.12121212,7.324347597579749,6.163981563410237,0.333333333,10,2.673267528667452,0.66037736,0,2,0,620,234,386,"Jose Suarez",19911,660761
"Grant Hartwig","NYM",2023,25,0,7.641510533964126,4.8396233381772795,1.3867926524601561,0,2,0,0.03443191200494766,28,35.1,0,0,158,5,2,34,23,19,4.3,0.24817518248175183,0.2980769230769231,30,0.18987342,2,0.09493671,15,1,6,3.820755266982063,0.09493671,4.44371977589149,4.837321421033904,0.481132075,3,0.7641510533964126,0.62992126,0,2,0,639,254,385,"Grant Hartwig",29946,701643
"Joe Mantiply","ARI",2023,32,0,6.461539883585684,4.615385631132631,1.1282053764990878,0,1,0,0.26336295902729034,35,39,3,0,157,2,2,35,22,20,3.93,0.23648648648648649,0.2672413793103448,28,0.17834395,3.11111111,0.12101911,9,1,0,2.0769235340096843,0.05732484,3.8447840790306844,4.207196214123327,0.537815126,4,0.9230771262265263,0.57291667,0,1,0,571,188,383,"Joe Mantiply",14857,573009
"Carmen Mlodzinski","PIT",2023,24,0,8.500001576212009,2.2500004172325907,1.277778014724681,1,10,1,0.2510247095488012,35,36,1,0,152,3,3,28,14,9,3.98,0.21052631578947367,0.2604166666666667,34,0.22368421,1.88888889,0.10526316,18,1,1,4.500000834465181,0.11842105,4.032818281503398,4.327278131065485,0.474747474,3,0.7500001390775303,0.77102804,0,0,0,617,234,383,"Carmen Mlodzinski",27572,669387
"Kyle Harrison","SFG",2023,21,1,9.086539128122999,4.153846458570514,1.1538462384918093,0,0,0,-0.09984187036752701,7,34.2,7,0,147,1,1,29,19,16,4.55,0.2196969696969697,0.23595505617977527,35,0.23809524,3.18181818,0.16326531,11,0,4,2.8557694402672285,0.07482993,5.533886680518394,5.013914273298624,0.268041237,8,2.076923229285257,0.76219512,0,0,0,588,205,383,"Kyle Harrison",27758,690986
"Grant Anderson","TEX",2023,26,0,7.570095617018546,5.046730411345697,1.4579443410554236,0,5,4,0.08239062130451202,26,35.2,0,0,154,2,1,38,20,20,4.07,0.2733812949640288,0.3173076923076923,30,0.19480519,2.14285714,0.1038961,14,1,1,3.532711287941988,0.09090909,4.656909918204208,4.68870628684311,0.462962962,5,1.2616826028364243,0.7173913,0,1,0,598,216,382,"Grant Anderson",20546,681982
"Gavin Hollowell","COL",2023,25,0,8.554457061022969,5.881189229453291,1.4554458194101578,1,2,1,-0.4957404136657715,26,33.2,0,0,154,2,0,31,23,22,5.41,0.23846153846153847,0.25555555555555554,32,0.20779221,1.77777778,0.09090909,18,1,6,4.8118820968254195,0.11688312,6.581773661006002,5.604371261175251,0.319587628,8,2.1386142652557423,0.73059361,0,0,0,613,234,379,"Gavin Hollowell",25427,668970
"Ryan Borucki","PIT",2023,29,0,7.363638336904411,2.4545461123014705,0.7438018522125668,0,8,0,0.6337827295064926,38,40.1,2,0,152,4,0,26,11,11,3.33,0.18055555555555555,0.205607476635514,33,0.21710526,8.25,0.19078947,4,0,4,0.8925622226550801,0.02631579,3.5029743102345927,3.935390302125269,0.467889908,4,0.8925622226550801,0.80985915,0,1,0,531,153,378,"Ryan Borucki",16350,621366
"Nick Anderson","ATL",2023,32,0,9.16981165075524,3.05660388358508,1.1037736246279455,1,15,2,0.8663737177848816,35,35.1,0,0,141,4,0,30,14,12,3.66,0.22727272727272727,0.2903225806451613,36,0.25531915,4,0.19148936,9,0,0,2.29245291268881,0.06382979,3.085229032631233,3.7595884903934094,0.416666666,3,0.76415097089627,0.7183908,0,1,0,548,172,376,"Nick Anderson",18337,623433
"Noah Davis","COL",2023,26,0,7.8,8.7,1.9333333333333333,0,0,0,-0.010745594277977943,8,30,6,0,146,0,4,43,30,29,4.77,0.33858267716535434,0.3894736842105263,26,0.17808219,1.73333333,0.07534247,15,0,4,4.5,0.10273973,6.021707026163737,5.350617405772209,0.46,6,1.8,0.59701493,1,4,0,602,227,375,"Noah Davis",25862,663562
"Jesse Chavez","ATL",2023,39,0,10.12500157837709,1.5576925505195522,1.0961540170322774,1,13,2,0.7344977557659149,36,34.2,1,0,144,1,0,26,10,6,3.58,0.20155038759689922,0.2727272727272727,39,0.27083333,3.25,0.1875,12,0,3,3.1153851010391045,0.08333333,3.053117251096388,3.4000526034736467,0.516853932,2,0.519230850173184,0.81151832,0,0,0,582,212,370,"Jesse Chavez",5448,445926
"Mason Miller","OAK",2023,24,2,10.260000391387955,3.780000144195562,1.2000000457763689,0,1,0,0.6786532253026962,10,33.1,6,0,139,0,3,24,15,14,3.18,0.2,0.275,38,0.27338129,2.375,0.15827338,16,0,3,4.320000164794928,0.11510791,3.465040367507935,4.768263627199107,0.259259259,2,0.540000020599366,0.69651741,0,3,0,611,242,369,"Mason Miller",31757,695243
"JoJo Romero","STL",2023,26,0,10.309092696639443,3.681818820228372,1.0636365480659742,3,3,2,1.2039048671722412,27,36.2,0,0,147,4,2,29,17,15,2.82,0.21323529411764705,0.3010752688172043,42,0.28571429,4.2,0.21768708,10,0,1,2.454545880152248,0.06802721,2.218676543432788,2.675776574630948,0.591397849,1,0.2454545880152248,0.59585492,0,2,0,550,184,366,"JoJo Romero",19574,668941
"Kyle Wright","ATL",2023,27,0,9.870968045602861,6.9677421498373135,1.8387097339848468,0,0,0,-0.04817499220371246,9,31,7,0,155,1,3,40,26,24,5.37,0.29850746268656714,0.3684210526315789,34,0.21935484,2,0.10967742,17,0,4,4.935484022801431,0.10967742,5.190524290007436,4.053760757330014,0.602040816,5,1.4516129478827737,0.64814815,0,2,0,576,210,366,"Kyle Wright",19665,657140
"Allan Winans","ATL",2023,27,2,9.463917897958574,5.2886600018003795,1.3917526320527316,0,0,0,0.4640793204307556,6,32.1,6,0,141,1,2,37,19,19,4.24,0.2824427480916031,0.34782608695652173,34,0.24113475,4.25,0.18439716,8,1,2,2.2268042112843704,0.05673759,4.090091938728709,3.971762497873784,0.453608247,5,1.3917526320527316,0.7,0,0,0,535,171,364,"Allan Winans",21238,642216
"Cooper Criswell","TBR",2023,26,0,7.363636363636363,5.7272727272727275,1.5454545454545454,0,0,0,-0.3070316016674042,10,33,0,0,151,1,1,40,23,21,5.16,0.29411764705882354,0.3300970873786408,27,0.17880795,2.45454545,0.10596027,11,1,4,3,0.07284768,5.345949450406161,4.535461704116879,0.444444444,6,1.6363636363636365,0.68669528,0,2,0,554,192,362,"Cooper Criswell",24975,681867
"Joe La Sorsa","- - -",2023,25,0,7.71428744090928,4.40816425194816,1.25510232173524,0,2,0,0.1767228189855814,25,32.2,0,0,145,1,0,32,16,16,4.42,0.24615384615384617,0.29292929292929293,28,0.19310345,3.11111111,0.13103448,9,0,6,2.47959239172084,0.06206897,4.112183408486991,4.841592754910966,0.421568627,3,0.82653079724028,0.72429907,1,0,0,541,179,362,"Joe La Sorsa",25481,686747
"Bowden Francis","TOR",2023,27,0,8.669725984307522,1.7339451968615047,0.8256881889816688,1,0,0,0.17663045227527618,20,36.1,0,0,136,1,0,22,7,7,3.66,0.1732283464566929,0.19540229885057472,35,0.25735294,4.375,0.19852941,8,0,1,1.9816516535560054,0.05882353,3.860545031416961,4.1647885790087456,0.351648351,5,1.2385322834725032,1,2,1,0,539,178,361,"Bowden Francis",20548,670102
"Jordan Wicks","CHC",2023,23,3,6.230769687855771,4.413461862231171,1.2692308623409905,0,0,0,0.2552245855331421,7,34.2,7,0,147,4,1,33,17,17,4.07,0.2426470588235294,0.2616822429906542,24,0.16326531,2.18181818,0.08843538,11,0,0,2.8557694402672285,0.07482993,4.697348157611833,4.300826139267007,0.467889908,5,1.2980770183032857,0.72972973,0,3,0,583,224,359,"Jordan Wicks",30094,696136
"Austin Cox","KCR",2023,26,0,8.32710428810196,4.542056884419251,1.2616824678942364,1,5,0,0.4625270962715149,24,35.2,3,0,149,0,1,28,20,18,4.93,0.2153846153846154,0.2736842105263158,33,0.22147651,1.94117647,0.10738255,17,0,2,4.289720390840404,0.11409396,3.7316759584793378,4.76421913272711,0.364583333,2,0.5046729871576946,0.61085973,0,1,0,578,220,358,"Austin Cox",24604,680735
"Peyton Battenfield","CLE",2023,25,2,7.009615898837742,5.192308073213143,1.326923174265581,0,0,0,0.0569259375333786,7,34.2,6,0,146,0,5,34,22,20,6.16,0.2537313432835821,0.27,27,0.18493151,2.25,0.10273973,12,0,0,3.1153848439278855,0.08219178,5.360809744744623,4.834294624594855,0.429906542,7,1.8173078256245998,0.66298343,0,1,0,551,194,357,"Peyton Battenfield",25777,685410
"Daniel Duarte","CIN",2023,26,0,6.536843811416015,3.69473780645253,1.389474046871037,1,2,0,-0.159535750746727,31,31.2,0,0,136,3,0,24,14,13,3.55,0.20869565217391303,0.21839080459770116,23,0.16911765,1.15,0.02205882,20,0,1,5.684212009926969,0.14705882,5.844514719574912,5.619271862519606,0.5,5,1.4210530024817423,0.81578947,0,1,0,572,216,356,"Daniel Duarte",17480,650960
"Josh Winder","MIN",2023,26,0,7.269231302498399,4.153846458570514,1.4134616421524666,1,1,0,0.14335642755031586,19,34.2,0,0,147,2,1,35,16,16,4.8,0.2631578947368421,0.3137254901960784,28,0.19047619,2,0.0952381,14,0,0,3.6346156512491996,0.0952381,3.976194258554451,4.997372090999015,0.409523809,3,0.7788462109819714,0.73660714,0,1,0,560,205,355,"Josh Winder",24606,680739
"Carl Edwards Jr.","WSN",2023,31,0,6.821053590219901,3.6947373613691137,1.5157896867155338,2,13,2,0.41264471411705017,32,31.2,0,0,142,1,3,31,14,13,4.21,0.25,0.30303030303030304,24,0.16901408,1.41176471,0.04929578,17,2,1,4.831579626405764,0.11971831,3.855040443821969,5.0108475310556555,0.46,1,0.2842105662591626,0.73529412,0,2,0,566,214,352,"Carl Edwards Jr.",13607,605218
"Jose A. Ferrer","WSN",2023,23,0,6.6176492862642915,5.029413457560861,1.4705887302809537,0,5,1,0.06672970950603485,39,34,0,0,142,3,0,37,19,19,3.71,0.2890625,0.3333333333333333,25,0.17605634,1.92307692,0.08450704,13,2,1,3.4411776288574316,0.0915493,4.54915844214431,4.0895623635338065,0.578431372,4,1.0588238858022867,0.70484581,0,0,0,560,208,352,"Jose A. Ferrer",24017,678606
"Spencer Turnbull","DET",2023,30,0,6.96774236419077,7.258064962698719,1.677419458045926,0,0,0,-0.05145469307899475,7,31,7,0,145,1,4,37,26,25,6.12,0.29133858267716534,0.32653061224489793,24,0.16551724,1.6,0.06206897,15,0,3,4.354838977619231,0.10344828,5.545363081059778,5.2086084758354385,0.485148514,5,1.4516129925397439,0.60416667,0,2,0,556,205,351,"Spencer Turnbull",16207,605513
"Gavin Stone","LAD",2023,24,0,6.387096970684205,9.000000276873196,1.903225865001859,1,0,0,-0.4510449320077896,8,31,4,0,152,1,1,46,32,31,6.4,0.3357664233576642,0.35514018691588783,22,0.14473684,1.69230769,0.05921053,13,0,2,3.7741936644952117,0.08552632,6.642137237890209,5.153985946569,0.455357142,8,2.322580716612438,0.58232932,0,0,0,548,197,351,"Gavin Stone",27792,694813
"Dinelson Lamet","- - -",2023,30,0,10.409639152253343,11.710844046285011,2.349397725334956,0,0,2,-0.3175119385123253,17,27.2,4,0,145,1,4,42,38,36,6.2,0.34710743801652894,0.4268292682926829,32,0.22068966,1.39130435,0.06206897,23,0,1,7.481928140682091,0.15862069,6.8333538180841575,5.635786691027741,0.426966292,7,2.277108564555419,0.49822064,1,5,0,605,257,348,"Dinelson Lamet",17186,659275
