Name,Team,Season,Age,QS,K/9,ERA,WHIP,SV,HLD,BS,WAR,G,IP,GS,CG,TBF,W,L,H,R,ER,xERA,AVG,BABIP,SO,K%,K/BB,K-BB%,BB,IBB,HBP,BB/9,BB%,FIP,xFIP,GB%,HR,HR/9,LOB%,BK,WP,ShO,Pitches,Balls,Strikes,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","NYY",2023,32,24,9.559808612440191,2.626794258373206,0.9808612440191388,0,0,0,5.388150691986084,33,209,33,2,821,15,4,157,64,61,3.48,0.20496083550913838,0.26145038167938933,222,0.27040195,4.625,0.21193666,48,0,7,2.0669856459330145,0.05846529,3.1641312685879797,3.597196205609153,0.396296296,20,0.861244019138756,0.80434783,1,4,2,3286,1117,2169,"Gerrit Cole",13125,543037
"Logan Webb","SFG",2023,26,24,8.083333333333334,3.25,1.0740740740740742,0,0,0,4.9122819900512695,33,216,33,2,850,11,13,201,83,78,3.63,0.24692874692874692,0.3016666666666667,194,0.22823529,6.25806452,0.19176471,31,0,5,1.2916666666666667,0.03647059,3.162447766904478,2.9538168780781606,0.621138211,20,0.8333333333333334,0.73684211,0,1,1,3184,1025,2159,"Logan Webb",17995,657277
"Miles Mikolas","STL",2023,34,14,6.124172340144791,4.783112703616735,1.316225198814574,0,0,0,3.057236909866333,35,201.1,35,0,860,9,13,226,110,107,5.44,0.2779827798277983,0.3076923076923077,137,0.15930233,3.51282051,0.11395349,39,0,8,1.7433775274864733,0.04534884,4.273252305749854,4.762415545141465,0.388392857,26,1.1622516849909823,0.68892646,0,4,0,3198,1042,2156,"Miles Mikolas",9803,571945
"Luis Castillo","SEA",2023,30,18,10.00507614213198,3.33502538071066,1.0964467005076142,0,0,0,3.3318209648132324,33,197,33,0,802,14,9,160,81,73,3.82,0.21592442645074225,0.26720647773279355,219,0.27306733,3.91071429,0.2032419,56,0,5,2.5583756345177666,0.06982544,3.8083398518828577,3.807006785228168,0.389210019,28,1.2791878172588833,0.77007701,0,3,0,3209,1075,2134,"Luis Castillo",15689,622491
"Spencer Strider","ATL",2023,24,18,13.54821502403341,3.857143067340473,1.092857202413134,0,0,0,5.465874195098877,32,186.2,32,0,763,20,5,146,85,80,3.09,0.20977011494252873,0.3155216284987277,281,0.36828309,4.84482759,0.29226737,58,1,9,2.796428723821843,0.07601573,2.853254623315771,2.9242724886054283,0.34057971,22,1.0607143435186301,0.7025247,2,6,0,3100,995,2105,"Spencer Strider",27498,675911
"Zac Gallen","ARI",2023,27,20,9.428571428571429,3.4714285714285715,1.119047619047619,0,0,0,5.169271469116211,34,210,34,1,846,17,9,188,87,81,4.16,0.2367758186397985,0.3007246376811594,220,0.26004728,4.68085106,0.20449173,47,0,5,2.0142857142857142,0.05555556,3.26456416902088,3.485153228754089,0.417832167,22,0.9428571428571428,0.73135755,1,8,1,3252,1153,2099,"Zac Gallen",19291,668678
"Aaron Nola","PHI",2023,30,15,9.387263832145537,4.461273900425602,1.151463055318182,0,0,0,3.86611270904541,32,193.2,32,0,793,12,9,178,105,96,3.71,0.23828647925033467,0.28460038986354774,202,0.25472888,4.48888889,0.19798235,45,0,1,2.091222140824501,0.05674653,4.02956707832096,3.631651960482608,0.426199261,32,1.4870913001418673,0.6640625,0,2,0,3094,1013,2081,"Aaron Nola",16149,605400
"Mitch Keller","PIT",2023,27,18,9.725557715952373,4.214408343579362,1.2452830514605684,0,0,0,3.2699105739593506,32,194.1,32,1,825,13,9,187,97,91,4.18,0.24670184696569922,0.30975143403441685,210,0.25454545,3.81818182,0.18787879,55,0,12,2.5471698779875265,0.06666667,3.8004949192277326,3.702056191852536,0.436697247,25,1.1578044899943303,0.71689498,1,5,1,3122,1049,2073,"Mitch Keller",17594,656605
"Chris Bassitt","TOR",2023,34,21,8.37,3.6,1.175,0,0,0,2.451029062271118,33,200,33,1,826,16,8,176,88,80,4.04,0.23311258278145697,0.2735674676524954,186,0.2251816,3.15254237,0.15375303,59,2,12,2.655,0.07142857,4.28004035949707,4.212593218684197,0.422735346,28,1.26,0.76515881,3,4,1,3152,1080,2072,"Chris Bassitt",12304,605135
"Zack Wheeler","PHI",2023,33,21,9.9375,3.609375,1.078125,0,0,0,5.931493282318115,32,192,32,0,787,13,6,168,82,77,3.18,0.2273342354533153,0.29191321499013806,212,0.26937738,5.43589744,0.21982211,39,0,9,1.828125,0.04955527,3.1508736928304044,3.536170850632092,0.41221374,20,0.9375,0.71276596,0,1,0,3158,1089,2069,"Zack Wheeler",10310,554430
"Pablo López","MIN",2023,27,20,10.855670103092784,3.6649484536082473,1.1546391752577319,0,0,0,4.564445972442627,32,194,32,1,801,11,8,176,81,79,3,0.23655913978494625,0.31275720164609055,234,0.29213483,4.875,0.23220974,48,1,9,2.2268041237113403,0.05992509,3.3323599471259366,3.283717529460327,0.452380952,24,1.1134020618556701,0.76228686,0,7,1,3028,992,2036,"Pablo Lopez",17085,641154
"Kevin Gausman","TOR",2023,32,20,11.52972972972973,3.1621621621621623,1.1783783783783783,0,0,0,5.148777008056641,31,185,31,0,763,12,9,163,72,65,3.85,0.23120567375886525,0.3207126948775056,237,0.31061599,4.30909091,0.23853211,55,0,3,2.675675675675676,0.07208388,2.968553873010584,3.21527419976286,0.426406926,19,0.9243243243243243,0.76646091,2,3,0,3071,1044,2027,"Kevin Gausman",14107,592332
"Lucas Giolito","- - -",2023,28,15,9.960217169960277,4.8824593970393515,1.3128390823150256,0,0,0,0.9285972714424133,33,184.1,33,0,794,8,15,169,110,100,4.61,0.23735955056179775,0.2740899357601713,204,0.25692695,2.79452055,0.16498741,73,2,9,3.5641953598387266,0.09193955,5.267698622054403,4.448119522002536,0.361660079,41,2.001808352786134,0.72830579,0,5,0,3199,1175,2024,"Lucas Giolito",15474,608337
"Lance Lynn","- - -",2023,36,13,9.359346772061977,5.7332124205824675,1.39382942038852,0,0,0,0.4575222283601761,32,183.2,32,0,808,13,11,189,127,117,4.86,0.2581967213114754,0.2917505030181087,191,0.23638614,2.85074627,0.15346535,67,1,9,3.2831216425557717,0.08292079,5.5309024599752,4.496007283190825,0.356472795,44,2.156079884663492,0.67846608,0,3,0,3170,1151,2019,"Lance Lynn",2520,458681
"Dylan Cease","CHW",2023,27,12,10.88135593220339,4.576271186440678,1.4180790960451977,0,0,0,3.617414951324463,33,177,33,0,784,7,9,172,98,90,4.1,0.2471264367816092,0.3304535637149028,214,0.27295918,2.70886076,0.17219388,79,3,9,4.016949152542373,0.10076531,3.723966913169386,4.075248144743806,0.359832635,19,0.9661016949152542,0.6940874,0,14,0,3263,1246,2017,"Dylan Cease",18525,656302
"George Kirby","SEA",2023,25,20,8.11888155204301,3.3513987802038008,1.0384615938659665,0,0,0,4.2873029708862305,31,190.2,31,1,757,13,10,179,74,71,3.9,0.24453551912568305,0.29182156133828996,172,0.22721268,9.05263158,0.20211361,19,1,6,0.8968531947024256,0.02509908,3.3442012034148556,3.630514826979142,0.441651705,22,1.0384615938659665,0.75057737,0,1,0,2825,823,2002,"George Kirby",25436,669923
"Logan Gilbert","SEA",2023,26,18,8.921329147303076,3.729021177973243,1.0751748825379956,0,0,0,3.074000597000122,32,190.2,32,1,770,13,7,169,82,79,3.69,0.23087431693989072,0.2723735408560311,189,0.24545455,5.25,0.1987013,36,1,2,1.6993007899624906,0.04675325,3.847697733774112,3.7607957135491796,0.414498141,29,1.3688811919142285,0.75120192,0,6,1,2924,962,1962,"Logan Gilbert",22250,669302
"Corbin Burnes","MIL",2023,28,19,9.294320625886671,3.392427028448635,1.0688468719769673,0,0,0,3.4468979835510254,32,193.2,32,0,784,10,8,141,77,73,3.38,0.19859154929577466,0.24385245901639344,200,0.25510204,3.03030303,0.17091837,66,0,8,3.0671258065426015,0.08418367,3.812699597050271,3.8043166448685737,0.440944881,22,1.0223752688475338,0.74918567,1,10,0,3081,1130,1951,"Corbin Burnes",19361,669203
"Jesús Luzardo","MIA",2023,25,17,10.47761253684955,3.576492740943837,1.2145523079574532,0,0,0,3.8416483402252197,32,178.2,32,0,741,10,10,162,79,71,3.96,0.23823529411764705,0.3111111111111111,208,0.28070175,3.78181818,0.20647773,55,1,6,2.770522545801564,0.07422402,3.5516821674313794,3.7184182870242912,0.401709401,22,1.1082090183206255,0.74921956,1,7,0,2990,1069,1921,"Jesus Luzardo",19959,666200
"José Berríos","TOR",2023,29,15,8.731107673905555,3.6537787548409115,1.1862918035197765,0,0,0,2.789130687713623,32,189.2,32,0,782,11,12,173,82,77,4.51,0.23994452149791956,0.2890625,184,0.23529412,3.53846154,0.16879795,52,3,9,2.467486951321135,0.06649616,3.9931774816871535,4.005639594563576,0.415730337,25,1.1862918035197765,0.7638191,1,4,0,2939,1030,1909,"Jose Berrios",14168,621244
"Kyle Gibson","BAL",2023,35,17,7.359375,4.734375,1.3177083333333333,0,0,0,2.5577497482299805,33,192,33,0,807,15,9,198,101,101,4.8,0.26541554959785524,0.30918727915194344,157,0.19454771,2.85454545,0.12639405,55,0,6,2.578125,0.06815366,4.130040359497071,4.131377169210465,0.488850771,23,1.078125,0.69664903,0,8,0,3039,1149,1890,"Kyle Gibson",10123,502043
"Framber Valdez","HOU",2023,29,20,9.090909090909092,3.4545454545454546,1.1262626262626263,0,0,0,4.3791937828063965,31,198,31,2,808,12,11,166,86,76,4.33,0.22402159244264508,0.28160919540229884,200,0.24752475,3.50877193,0.1769802,57,0,10,2.590909090909091,0.07054455,3.4974646019213127,3.3856254026143238,0.542056074,19,0.8636363636363636,0.7122093,0,6,2,2962,1077,1885,"Framber Valdez",17295,664285
"Jordan Montgomery","- - -",2023,30,20,7.918728021934806,3.1961131172869397,1.1925795213757238,0,0,0,4.254639983177185,32,188.2,32,0,777,10,11,177,75,67,3.98,0.24413793103448275,0.29390018484288355,166,0.21364221,3.45833333,0.15186615,48,0,4,2.2897526810413895,0.06177606,3.5624608583405903,4.013504443107919,0.432432432,18,0.8586572553905212,0.75564279,0,6,0,2923,1047,1876,"Jordan Montgomery",16511,656756
"Sandy Alcantara","MIA",2023,27,13,7.359206181561642,4.142599506177083,1.2129964567106752,0,0,0,3.0201222896575928,28,184.2,28,3,762,7,12,176,91,85,4.33,0.24823695345557123,0.2873134328358209,151,0.19816273,3.14583333,0.1351706,48,0,5,2.3393503093705883,0.06299213,4.02940863320076,4.0027107878935535,0.519927536,22,1.0722022251281862,0.6962664,1,4,1,2726,851,1875,"Sandy Alcantara",18684,645261
"JP Sears","OAK",2023,27,9,8.408124039260718,4.543520443575668,1.2649903661551667,0,0,0,0.5569000840187073,32,172.1,32,0,735,5,14,165,90,87,4.64,0.24774774774774774,0.2781316348195329,161,0.21904762,3.03773585,0.14693878,53,2,16,2.7678917644771306,0.07210884,5.15252590872982,5.1013353435918845,0.290581162,34,1.7756286790985367,0.77253219,0,2,0,2869,996,1873,"JP Sears",23429,676664
"Dean Kremer","BAL",2023,27,14,8.183398165516396,4.117760860355384,1.3088803859920066,0,0,0,1.489335536956787,32,172.2,32,0,735,13,5,171,85,79,4.93,0.25333333333333335,0.29327902240325865,157,0.21360544,2.85454545,0.13877551,55,0,5,2.866795535690457,0.07482993,4.511797190294705,4.336605521284172,0.393410852,27,1.4073359902480425,0.75569358,0,5,0,2933,1069,1864,"Dean Kremer",19350,665152
"Blake Snell","SDP",2023,30,20,11.7,2.25,1.1888888888888889,0,0,0,4.156758785247803,32,180,32,0,742,14,9,115,47,45,3.77,0.1796875,0.2557544757033248,234,0.31536388,2.36363636,0.1819407,99,0,3,4.95,0.13342318,3.4383736928304036,3.622610037525495,0.444444444,15,0.75,0.86734694,2,13,0,3170,1320,1850,"Blake Snell",13543,605483
"Joe Ryan","MIN",2023,27,14,10.967010999353846,4.509278634252088,1.1690722385098007,0,0,0,2.30822491645813,29,161.2,29,1,672,11,10,155,83,81,3.53,0.24525316455696203,0.3052109181141439,197,0.29315476,5.79411765,0.24255952,34,0,6,1.892783624253963,0.05059524,4.133390930229302,3.7589824145010247,0.315545243,32,1.7814434110625537,0.74567244,0,3,1,2685,836,1849,"Joe Ryan",21390,657746
"Johan Oviedo","PIT",2023,25,14,8.003752803480584,4.305816381619302,1.3733584276014505,0,0,0,1.845396876335144,32,177.2,32,1,781,9,14,161,91,85,4.61,0.23503649635036497,0.2795275590551181,158,0.20230474,1.90361446,0.09603073,83,1,13,4.204503054992966,0.10627401,4.487685833450831,4.865566717660169,0.449330783,19,0.9624766029501969,0.72048611,3,7,1,2991,1144,1847,"Johan Oviedo",22487,670912
"Merrill Kelly","ARI",2023,34,18,9.472796039562464,3.2926831153559366,1.1932458469324079,0,0,0,3.1767754554748535,30,177.2,30,0,722,12,8,143,71,65,4.13,0.22033898305084745,0.27828054298642535,187,0.25900277,2.71014493,0.1634349,69,0,4,3.4953097686086094,0.09556787,3.8460347648173663,3.8343436212749094,0.451965065,20,1.0131332662633652,0.7712766,4,3,0,2810,993,1817,"Merrill Kelly",11156,518876
"Justin Steele","CHC",2023,27,20,9.138461806618963,3.063461628355221,1.1711538805199808,0,0,0,4.775646686553955,30,173.1,30,0,716,16,5,167,71,59,3.5,0.24814264487369986,0.3167701863354037,176,0.24581006,4.88888889,0.19553073,36,0,7,1.8692308240811517,0.05027933,3.0185018910176655,3.3229785291497724,0.493877551,14,0.7269230982537812,0.73004202,1,9,0,2682,868,1814,"Justin Steele",17312,657006
"Sonny Gray","MIN",2023,33,17,8.951086956521738,2.7880434782608696,1.1467391304347827,0,0,0,5.3657965660095215,32,184,32,0,754,8,8,156,59,57,3.66,0.22510822510822512,0.2948207171314741,183,0.24270557,3.32727273,0.16976127,55,0,6,2.6902173913043477,0.0729443,2.825692533410114,3.6442586753031483,0.473267326,8,0.391304347826087,0.76773567,1,6,0,2827,1015,1812,"Sonny Gray",12768,543243
"Yusei Kikuchi","TOR",2023,32,9,9.715706354870433,3.864811367683266,1.270377810673666,0,0,0,2.4392590522766113,32,167.2,32,0,700,11,6,165,78,72,4.3,0.25462962962962965,0.31363636363636366,181,0.25857143,3.77083333,0.19,48,0,4,2.576540911788844,0.06857143,4.119851545166936,3.771799399492592,0.397408207,27,1.4493042628812247,0.77566964,0,7,0,2818,1006,1812,"Yusei Kikuchi",20633,579328
"Patrick Corbin","WSN",2023,33,15,6.2,5.2,1.4833333333333334,0,0,0,0.8439815640449524,32,180,32,0,790,10,15,210,113,104,6.16,0.2880658436213992,0.3094405594405594,124,0.15696203,2.1754386,0.08481013,57,0,4,2.85,0.0721519,5.277262581719293,4.758542615340816,0.442016806,33,1.65,0.70284698,0,6,0,2925,1126,1799,"Patrick Corbin",9323,571578
"Bryce Elder","ATL",2023,24,16,6.59542023144323,3.812977321303117,1.2767176316075002,0,0,0,1.776326298713684,31,174.2,31,0,732,12,4,160,79,74,4.61,0.24205748865355523,0.27431906614785995,128,0.17486339,2.03174603,0.08879781,63,0,8,3.2461833951634644,0.08606557,4.422979358815143,4.494980653295698,0.49905482,19,0.9790076906048544,0.74363992,1,11,0,2851,1062,1789,"Bryce Elder",27779,693821
"Freddy Peralta","MIL",2023,27,16,11.408451404745085,3.857143093985243,1.1167002697766353,0,0,0,3.0445778369903564,30,165.2,30,0,680,12,10,131,77,71,3.35,0.21129032258064517,0.2734375,210,0.30882353,3.88888889,0.22941177,54,0,6,2.9336017897915934,0.07941176,3.8465896915949642,3.4231066724723918,0.41728395,26,1.412474935825582,0.7373868,1,6,0,2839,1054,1785,"Freddy Peralta",18679,642547
"Cristian Javier","HOU",2023,26,11,8.833333333333334,4.555555555555555,1.2654320987654322,0,0,0,1.9574224948883057,31,162,31,0,687,10,5,143,85,82,4.42,0.2313915857605178,0.271889400921659,159,0.23144105,2.56451613,0.1411936,62,0,7,3.4444444444444446,0.09024745,4.576028013818058,5.162147430505281,0.256017505,25,1.3888888888888888,0.71751412,0,4,0,2886,1104,1782,"Cristian Javier",17606,664299
"Jordan Lyles","KCR",2023,32,4,6.078799597580191,6.2814262508328635,1.243902510245576,0,0,0,0.2247265726327896,31,177.2,31,3,748,6,17,176,130,124,4.93,0.25251076040172166,0.25464684014869887,120,0.16042781,2.66666667,0.10026738,45,0,6,2.2795498490925716,0.06016043,5.619017980778255,5.343099217386467,0.335087719,39,1.975609869213562,0.56264501,0,10,0,2821,1041,1780,"Jordan Lyles",7593,543475
"Zach Eflin","TBR",2023,29,17,9.42213856703485,3.495309468416154,1.0243902145760708,0,0,0,4.882145881652832,31,177.2,31,0,703,16,8,158,69,69,3.02,0.23372781065088757,0.2951167728237792,186,0.26458037,7.75,0.23044097,24,1,3,1.215759815101271,0.0341394,3.0073855823468114,3.124700686717677,0.497925311,19,0.9624765202885062,0.73232323,0,0,0,2579,802,1777,"Zach Eflin",13774,621107
"Clarke Schmidt","NYY",2023,27,5,8.4339625708316,4.6415096027395375,1.3522013070311663,0,0,0,1.9565745927393436,33,159,32,0,694,9,9,169,91,82,4.33,0.2653061224489796,0.3125,149,0.21469741,3.23913043,0.14841499,46,0,11,2.6037736795855944,0.06628242,4.418562414384352,4.359212544131092,0.438271604,24,1.3584906154359624,0.7016632,2,11,0,2714,943,1771,"Clarke Schmidt",19899,657376
"Dane Dunning","TEX",2023,28,12,7.297297404775986,3.7007722552792504,1.2625482811437818,0,2,0,2.0133176129311323,35,172.2,26,0,722,12,7,163,73,71,4.48,0.2480974124809741,0.28772635814889336,140,0.19390582,2.54545455,0.11772853,55,0,10,2.8667954090191374,0.07617729,4.26855388793818,4.390579747871662,0.463178294,20,1.0424710578251408,0.775,0,6,0,2698,951,1747,"Dane Dunning",19409,641540
"Charlie Morton","ATL",2023,39,12,10.083673783397247,3.636734807126876,1.426530656667613,0,0,0,2.65096116065979,30,163.1,30,0,716,14,12,150,70,66,4.64,0.24154589371980675,0.32075471698113206,183,0.25558659,2.20481928,0.13966481,83,2,12,4.573469530174708,0.11592179,3.8734077256920445,4.2673837257477585,0.43287037,14,0.7714285954511555,0.77639752,2,4,0,2853,1112,1741,"Charlie Morton",4676,450203
"Josiah Gray","WSN",2023,25,11,8.09433962264151,3.9056603773584904,1.4591194968553458,0,0,0,1.578080177307129,30,159,30,0,698,8,13,152,72,69,5.03,0.24958949096880131,0.2927927927927928,143,0.20487106,1.7875,0.09025788,80,1,9,4.528301886792453,0.11461318,4.934285642515939,5.12164529663212,0.378494623,22,1.2452830188679245,0.80399619,0,9,0,2814,1090,1724,"Josiah Gray",24580,680686
"Taijuan Walker","PHI",2023,30,11,7.193050616823329,4.378378636327243,1.3088803859920066,0,0,0,2.4552834033966064,31,172.2,31,0,733,15,6,155,87,84,4.36,0.23700305810397554,0.2721774193548387,138,0.18826739,1.94366197,0.09140518,71,1,8,3.7007724188004083,0.09686221,4.534963214825536,4.829346222956277,0.446183953,20,1.042471103887439,0.71359223,1,3,0,2839,1117,1722,"Taijuan Walker",11836,592836
"Hunter Brown","HOU",2023,24,11,10.291221229257276,5.087794765026069,1.3618844573049578,0,0,0,1.805086568929255,31,155.2,29,0,665,11,13,157,94,88,4.27,0.2612312811980033,0.32997481108312343,178,0.26766917,3.23636364,0.18496241,55,0,9,3.179871728141293,0.08270677,4.372813451813403,3.518524000846807,0.523696682,26,1.503212089666793,0.687974,0,4,0,2725,1005,1720,"Hunter Brown",25880,686613
"Justin Verlander","- - -",2023,40,14,7.983572770205695,3.215605699110627,1.1334702081156234,0,0,0,3.347556471824646,27,162.1,27,0,669,13,8,139,63,58,3.63,0.2245557350565428,0.2647702407002188,144,0.21524664,3.2,0.14798206,45,0,5,2.49486649068928,0.06726457,3.846416120253048,4.56414037084129,0.355179704,18,0.9979465962757119,0.76923077,0,5,0,2605,898,1707,"Justin Verlander",8700,434378
"Kodai Senga","NYM",2023,30,16,10.929860053660178,2.9759519948084643,1.2204409190830672,0,0,0,3.439357042312622,29,166.1,29,0,694,12,7,126,60,55,3.87,0.20588235294117646,0.27735368956743,202,0.29106628,2.62337662,0.18011527,77,0,5,4.1663327927318505,0.11095101,3.6337978861090567,3.7663191797245217,0.44691358,17,0.9198397074862527,0.80347448,1,14,0,2803,1103,1700,"Kodai Senga",31838,673540
"Kyle Bradish","BAL",2023,26,18,8.964427418127697,2.8280634116712373,1.043478323803224,0,0,0,3.7823996543884277,30,168.2,30,0,671,12,7,132,54,53,3.77,0.21324717285945072,0.2700228832951945,168,0.25037258,3.81818182,0.18479881,44,0,8,2.3478262285572535,0.06557377,3.2668980677221073,3.5307865636247486,0.492204899,14,0.747035618177308,0.79075426,0,9,0,2642,952,1690,"Kyle Bradish",24586,680694
"Jameson Taillon","CHC",2023,31,9,8.164147137311014,4.8401729456915294,1.2764579254367219,1,0,0,1.4845849052071571,30,154.1,29,0,655,8,10,156,96,83,4.7,0.2561576354679803,0.2918552036199095,140,0.21374046,3.41463415,0.15114504,41,0,5,2.390928804498225,0.06259542,4.609252067193897,4.488239336708831,0.379014989,27,1.574514090767124,0.6455542,0,2,0,2534,863,1671,"Jameson Taillon",11674,592791
"Brady Singer","KCR",2023,26,9,7.49686895362481,5.524008702670913,1.446764184032858,0,0,0,1.9510537385940552,29,159.2,29,0,702,8,11,182,102,98,4.93,0.28217054263565894,0.32926829268292684,133,0.18945869,2.71428571,0.11965812,49,0,8,2.7620043513354564,0.06980057,4.2884433480919695,4.275434204984763,0.495088408,20,1.1273487148307986,0.6492891,0,3,0,2615,945,1670,"Brady Singer",25377,663903
"Reid Detmers","LAA",2023,23,9,10.1704042833545,4.479820934334721,1.35201802973165,0,0,0,2.506826639175415,28,148.2,28,0,644,4,10,141,81,74,4.55,0.2469352014010508,0.3177083333333333,168,0.26086957,2.8,0.16770186,60,2,13,3.632287244055179,0.0931677,4.129479881214058,4.269679335694564,0.366583541,19,1.1502242939508067,0.70971185,0,7,0,2602,938,1664,"Reid Detmers",27468,672282
"Brayan Bello","BOS",2023,24,15,7.56687898089172,4.24203821656051,1.3375796178343948,0,0,0,1.5914533138275146,28,157,28,0,668,12,11,165,77,74,4.16,0.26742301458670986,0.30585683297180044,132,0.19760479,2.93333333,0.13023952,45,0,6,2.5796178343949046,0.06736527,4.535295136567134,4.022360394866603,0.561983471,24,1.375796178343949,0.7620614,0,1,0,2622,966,1656,"Brayan Bello",23920,678394
"Rich Hill","- - -",2023,43,7,7.933940843429573,5.412300730401569,1.5239180086863005,0,0,1,0.745836541056633,32,146.1,27,0,660,8,14,165,98,88,5.66,0.2773109243697479,0.32054176072234764,129,0.19545455,2.22413793,0.10757576,58,0,7,3.5671982086737613,0.08787879,4.867796637748043,4.76786384653403,0.379912663,23,1.4145785999913192,0.66734075,1,2,0,2536,894,1642,"Rich Hill",4806,448179
"Andrew Heaney","TEX",2023,32,7,9.223982636825763,4.15384648545796,1.3778281642940617,0,2,1,1.2360596507787704,34,147.1,28,0,641,10,6,143,74,68,4.55,0.2504378283712785,0.3022670025188917,151,0.23556942,2.51666667,0.14196568,60,0,10,3.6651586636393763,0.09360374,4.6600178472254985,4.583207016573052,0.400479616,23,1.4049774877284276,0.76880531,0,3,0,2605,963,1642,"Andrew Heaney",15423,571760
"Braxton Garrett","MIA",2023,25,10,8.793319975680228,3.663883323200095,1.1461378600779786,0,0,0,3.052660748362541,31,159.2,30,0,659,9,7,154,68,65,4.58,0.24878836833602586,0.30248306997742663,156,0.23672231,5.37931034,0.19271624,29,0,11,1.6346556365046578,0.04400607,3.6809276517664835,3.4193979786620887,0.491341991,20,1.1273487148307986,0.75903614,0,4,0,2486,844,1642,"Braxton Garrett",21844,666129
"Patrick Sandoval","LAA",2023,26,8,7.963134200496706,4.105991072131114,1.513824991240259,0,0,0,2.348120927810669,28,144.2,28,0,652,7,13,145,89,66,4.7,0.25261324041811845,0.3064516129032258,128,0.19631902,1.72972973,0.08282209,74,2,4,4.6036869596621575,0.11349693,4.181307705735403,4.611554958487364,0.46590909,12,0.7465438312965661,0.64985451,0,5,0,2625,987,1638,"Patrick Sandoval",19447,663776
"Max Scherzer","- - -",2023,38,14,10.257642092269865,3.7729258270417896,1.1200873549030312,0,0,0,2.1767568588256836,27,152.2,27,0,621,13,6,126,65,64,3.28,0.2202797202797203,0.2648648648648649,174,0.28019324,3.86666667,0.20772947,45,0,4,2.6528384721387583,0.07246377,4.322725966802299,4.017770962323361,0.331645569,28,1.650655049330783,0.81001473,0,2,0,2469,832,1637,"Max Scherzer",3137,453286
"Jack Flaherty","- - -",2023,27,8,9.228637738609322,4.988452831680715,1.5796767300322263,0,1,0,1.758894581347704,29,144.1,27,0,650,8,9,162,83,80,5.06,0.28321678321678323,0.35626535626535627,148,0.22769231,2.24242424,0.12615385,66,2,12,4.11547358613659,0.10153846,4.356657026493229,4.360461657315404,0.426540284,17,1.060046226732152,0.72617946,0,8,0,2635,1017,1618,"Jack Flaherty",17479,656427
"Trevor Williams","WSN",2023,31,5,6.921478303956992,5.549653775244796,1.6004619501642294,0,0,0,-0.14524011313915253,30,144.1,30,0,659,6,10,178,97,89,5.66,0.2961730449251248,0.3157894736842105,111,0.16843703,2.09433962,0.08801214,53,1,5,3.3048500009884734,0.08042489,5.984832603500129,5.213495514817453,0.395061728,34,2.120092453464304,0.73779193,2,0,0,2625,1011,1614,"Trevor Williams",16977,592866
"Alex Cobb","SFG",2023,35,11,7.790749160522903,3.865638896442662,1.3215859475017648,0,0,0,1.8152467012405396,28,151.1,28,2,646,7,7,163,69,65,4.73,0.2703150912106136,0.31788079470198677,131,0.20278638,3.54054054,0.14551084,37,0,6,2.2004406025904384,0.05727554,4.008344349573076,3.5124098554432908,0.575692963,19,1.1299559851140089,0.76365663,5,7,1,2509,905,1604,"Alex Cobb",6562,502171
"Eduardo Rodriguez","DET",2023,30,14,8.430131566085587,3.301310263641908,1.152838504763841,0,0,0,2.9713873863220215,26,152.2,26,0,621,13,9,128,59,56,4.04,0.22456140350877193,0.27427184466019416,143,0.23027375,2.97916667,0.15297907,48,0,3,2.829694511693064,0.07729469,3.6611539236752417,4.062482696239407,0.410071942,15,0.8842795349040825,0.75949367,0,3,0,2449,849,1600,"Eduardo Rodriguez",13164,593958
"Kyle Freeland","COL",2023,30,12,5.434689862641483,5.0299789154235,1.4710921732209215,0,0,0,1.1341078281402588,29,155.2,29,0,677,6,14,187,96,87,5.7,0.2949526813880126,0.30919765166340507,94,0.13884786,2.23809524,0.07680945,42,0,1,2.4282656833078966,0.0620384,5.297867045454508,5.127699401598343,0.399624765,29,1.6766596384745,0.70749736,0,2,0,2419,832,1587,"Kyle Freeland",16256,607536
"Jon Gray","TEX",2023,31,12,8.122881618528258,4.118644200943905,1.2902542789994023,0,0,0,1.7436232566833496,29,157.1,29,1,656,9,8,149,75,72,4.48,0.25126475548060706,0.29603729603729606,142,0.21646341,2.62962963,0.13414634,54,1,9,3.0889831507079286,0.08231707,4.469023449590104,4.364127276032942,0.400447427,22,1.258474616955082,0.75607064,0,4,0,2402,816,1586,"Jon Gray",14916,592351
"Ken Waldichuk","OAK",2023,25,4,8.42553259874162,5.361702562835577,1.5602838145817817,1,0,0,-0.18686068058013916,35,141,22,0,639,4,9,149,93,84,4.67,0.26654740608228983,0.31017369727047145,132,0.20657277,1.85915493,0.09546166,71,1,9,4.5319152614443565,0.11111111,5.297593716767766,5.078230565428108,0.398104265,24,1.5319150179530219,0.69600819,1,7,0,2554,976,1578,"Ken Waldichuk",27681,686610
"Michael Lorenzen","- - -",2023,31,11,6.529411886802596,4.176470666333192,1.2091503494078881,1,0,0,1.675996762700379,29,153,25,1,624,9,9,138,76,71,4.51,0.24,0.26576576576576577,111,0.17788462,2.36170213,0.1025641,47,0,2,2.7647059340515496,0.07532051,4.464190708904958,4.677545356353217,0.410480349,20,1.176470610234702,0.69811321,1,4,1,2369,812,1557,"Michael Lorenzen",14843,547179
