Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,PlayerId
"P.J. Hilson","PIT","A+",24,8,25,27,6,4,0,0,2,5,3,2,0,9,0,0,0,0,2,0,0.24,0.074074074,0.333333333,0.222222222,0.24,0.296296296,0.48,0.776296296,0.24,7.0619652460748235,0.285714285,0.31373498402535915,3.905186448699514,0.40446594775346917,0.354954927055924,111.55379150218265,,0.285714285,0.166666666,0.066666666,0.133333333,0.8,0.166666666,0.166666666,0.5,0.25,0.25,0.13888889,37,71,"sa3007048"
"Justin Dean","LAD","AAA",28,7,20,23,3,1,1,1,0,4,0,3,0,10,0,0,0,0,3,1,0.15,0.130434782,0.434782608,0.3,0.15,0.260869565,0.3,0.560869565,0.15,9.14896524877335,0.3,0.09092019125819206,1.348297537273092,-1.8335748156846334,0.2619104618611543,42.37434402482473,,0.3,0.25,0.444444444,0.111111111,0.444444444,0.25,0,0.2,0.6,0.2,0.14606742,33,56,"sa3007070"
"Raynel Delgado","MIL","AAA",25,15,47,58,10,8,2,0,0,10,5,10,0,13,1,0,0,0,5,1,0.212765957,0.172413793,0.224137931,0.769230769,0.212765957,0.362068965,0.255319148,0.617388113,0.042553191,6.52352291085075,0.294117647,0.36865085642784834,6.321226658879387,-1.0028350030793072,0.31499450782249716,86.30766575480855,,0.294117647,1.454545454,0.181818181,0.484848484,0.333333333,0.272727272,0,0.5,0.23529412,0.26470588,0.078125,107,149,"sa3007288"
"Matt Kroon","PHI","AAA",28,5,16,18,6,4,2,0,0,3,5,2,0,7,0,0,0,1,2,1,0.375,0.111111111,0.388888888,0.285714285,0.375,0.444444444,0.5,0.944444444,0.125,5.474201713395638,0.666666666,-0.10372384823858738,3.6993065061527055,1.4263218524413863,0.43517580959532,162.751055098964,,0.666666666,4,0.444444444,0.444444444,0.111111111,0,0,0.44444444,0.11111111,0.44444444,0.10447761,25,42,"sa3007502"
"Ramon Mendoza","STL","AA",24,9,26,36,6,3,1,1,1,6,7,9,0,6,1,0,0,0,0,0,0.23076923,0.25,0.166666666,1.5,0.23076923,0.444444444,0.461538461,0.905982905,0.230769231,4.24999999625,0.263157894,-0.06419721292331815,7.2016950507392,2.5448528785933564,0.42657956149843,154.64760849777102,,0.263157894,0.8,0.052631578,0.421052631,0.526315789,0.2,0.1,0.5,0.15,0.35,0.11515152,74,91,"sa3007513"
"Max Burt","NYY","AA",28,9,23,26,4,3,1,0,0,4,4,1,0,3,1,1,0,1,2,0,0.173913043,0.038461538,0.115384615,0.333333333,0.173913043,0.23076923,0.217391304,0.448160534,0.043478261,7.5,0.19047619,0.3533246051520109,0.9983110341479374,-2.15095246701936,0.219033984037546,31.699825491830268,,0.19047619,1.125,0.19047619,0.428571428,0.38095238,0.25,0,0.42857143,0.28571429,0.28571429,0.08433735,28,55,"sa3007631"
"Nick Schnell","WSN","AA",25,8,29,31,8,5,1,2,0,5,2,2,0,11,0,0,0,1,2,0,0.275862068,0.064516129,0.354838709,0.181818181,0.275862068,0.322580645,0.448275862,0.770856507,0.172413794,9.40900886841677,0.444444444,0.3346544448286295,4.3483218994679085,0.5934308019222839,0.3530792324773727,115.80420807171157,,0.444444444,1.2,0.352941176,0.352941176,0.294117647,0.2,0,0.5,0.27777778,0.22222222,0.18918919,32,79,"sa3007639"
"Jeremiah Jackson","BAL","AA",25,10,39,43,10,6,3,0,1,5,5,4,0,3,0,0,0,0,1,2,0.256410256,0.093023255,0.069767441,1.333333333,0.256410256,0.325581395,0.41025641,0.735837805,0.153846154,3.2542289098398784,0.257142857,-0.7419244833290577,5.767233236722076,0.5588359078684694,0.3449912098951118,110.72951759599091,,0.257142857,0.777777777,0.111111111,0.388888888,0.5,0.222222222,0.055555555,0.55555556,0.13888889,0.30555556,0.13907285,57,94,"sa3007740"
"Willie MacIver","OAK","AAA",28,10,36,40,13,10,2,1,0,7,5,3,0,6,1,0,0,1,1,0,0.361111111,0.075,0.15,0.5,0.361111111,0.425,0.472222222,0.897222222,0.111111111,7.690820155852131,0.433333333,0.12862110324203968,7.5375773921799905,2.003886343557859,0.4103321999311447,136.21247239772845,,0.433333333,1.75,0.24137931,0.48275862,0.275862068,0.25,0,0.4,0.16666667,0.43333333,0.0962963,47,88,"sa3007828"
"Will Banfield","CIN","AAA",25,12,34,40,2,2,0,0,0,0,2,4,0,14,1,1,0,2,0,0,0.058823529,0.1,0.35,0.285714285,0.058823529,0.175,0.058823529,0.233823529,0,0.14285714,0.095238095,-0.06872131768614054,-1.2593142975325322,-6.310391305779907,0.14010849297046662,-24.93159964649776,,0.095238095,1.428571428,0.19047619,0.476190476,0.333333333,0.285714285,0,0.38095238,0.33333333,0.28571429,0.1835443,59,99,"sa3007973"
"Ezequiel Pagan","LAD","AA",24,7,28,31,6,4,0,1,1,2,2,2,0,2,0,1,0,2,0,1,0.214285714,0.064516129,0.064516129,1,0.214285714,0.258064516,0.392857142,0.650921658,0.178571428,4.225886743383452,0.192307692,-0.48799170460551977,2.7514080434168515,-1.2586504937087362,0.28925322717235935,68.61266532505688,,0.192307692,1.272727272,0.074074074,0.518518518,0.407407407,0.545454545,0.09090909,0.48148148,0.18518519,0.33333333,0.1047619,36,69,"sa3007975"
"Miguel Pabon","CHC","A+",24,3,12,12,3,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0.25,0.333333333,0.583333333,0.083333333,0.14285714,0.333333333,-0.02548469975590706,0.8628400470084583,-0.5809790288143719,0.2777760525544484,59.76095353337308,,0.333333333,1.666666666,0.111111111,0.555555555,0.333333333,0.333333333,0,0.44444444,0.44444444,0.11111111,0.15217391,15,31,"sa3007977"
"Kyle Datres","CLE","AAA",29,7,21,24,4,2,2,0,0,3,2,3,0,5,0,0,0,1,0,0,0.19047619,0.125,0.208333333,0.6,0.19047619,0.291666666,0.285714285,0.577380951,0.095238095,2.1964285649999997,0.25,-0.049086655490100384,1.9299875336316457,-1.1006586713167796,0.27942391484975815,63.6823767314169,,0.25,1.8,0.125,0.5625,0.3125,0,0,0.3125,0.4375,0.25,0.13084112,40,67,"sa3008029"
"Josh Breaux","PHI","AAA",27,7,23,26,3,3,0,0,0,1,0,2,0,5,1,0,0,0,0,0,0.130434782,0.076923076,0.192307692,0.4,0.130434782,0.23076923,0.130434782,0.361204012,0,0.76785714,0.166666666,-0.05890398658812046,0.3167440730001746,-2.9664559823606194,0.194472271662492,9.647419214768723,,0.166666666,2,0.25,0.5,0.25,0,0,0.55555556,0.27777778,0.16666667,0.0877193,46,68,"sa3008051"
"Carlos Cortes","OAK","AAA",28,8,27,33,7,6,0,0,1,4,6,5,0,5,0,1,0,0,0,0,0.259259259,0.151515151,0.151515151,1,0.259259259,0.363636363,0.37037037,0.734006733,0.111111111,1.22240259,0.272727272,-0.05608342122286558,4.225727501983833,-0.33956761312942546,0.3412911584883025,92.56197891774185,,0.272727272,1.8,0.391304347,0.391304347,0.217391304,0.2,0.2,0.47826087,0.2173913,0.30434783,0.125,46,66,"sa3008079"
"Connor Scott","KCR","AA",25,6,23,26,7,5,2,0,0,5,6,2,0,3,0,1,0,1,0,0,0.304347826,0.076923076,0.115384615,0.666666666,0.304347826,0.346153846,0.391304347,0.737458193,0.086956521,2.64285714,0.333333333,-0.03456773003563285,3.3580958077601895,-0.005179094345142417,0.33910693342869097,99.84601037691269,,0.333333333,1.428571428,0.19047619,0.476190476,0.333333333,0,0,0.47619048,0.42857143,0.0952381,0.13636364,35,53,"sa3008080"
"Malcom Nunez","PIT","AAA",24,13,42,44,12,5,5,0,2,4,9,1,0,7,0,1,0,0,0,0,0.285714285,0.022727272,0.159090909,0.142857142,0.285714285,0.295454545,0.547619047,0.843073592,0.261904762,0.6542207712499999,0.294117647,-0.05890398658812046,6.6010251729446265,1.0448404638725126,0.3660855415192517,118.80499872811107,,0.294117647,0.75,0.125,0.375,0.5,0.1875,0.125,0.4375,0.21875,0.34375,0.13333333,39,96,"sa3008113"
"Hunter Stovall","TBR","AA,AAA",28,4,10,14,3,3,0,0,0,1,2,4,0,1,0,0,0,0,0,1,0.3,0.285714285,0.071428571,4,0.3,0.5,0.3,0.8,0,1.6177302513404777,0.333333333,-0.4909039754420519,2.4837374706068793,0.8254834134379185,0.41122616614614216,153.21278151586782,,0.333333333,1,0.111111111,0.444444444,0.444444444,0.5,0,0.66666667,0.22222222,0.11111111,0.07692308,26,26,"sa3008181"
"Jimmy Herron","MIL","AAA",28,13,48,52,9,8,0,0,1,4,5,4,0,12,0,0,0,2,1,0,0.1875,0.076923076,0.23076923,0.333333333,0.1875,0.25,0.25,0.5,0.0625,3.889644452382279,0.228571428,0.08219202980399132,2.5637841349332247,-4.0026159757883635,0.2406883973341722,39.04398287803221,,0.228571428,1.636363636,0.194444444,0.5,0.305555555,0.272727272,0.09090909,0.38888889,0.25,0.36111111,0.09039548,61,116,"sa3008183"
"Korey Holland","LAA","AAA",25,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.14285714,0,0,-0.6818385631825503,-1.2352076680447635,0,-100,,0,1,0.5,0.5,0,0,0,0.5,0,0.5,0.13636364,9,13,"sa3008249"
"Andy Weber","ARI","AA",27,11,51,55,10,7,1,1,1,5,8,3,0,20,1,0,0,0,0,1,0.196078431,0.054545454,0.363636363,0.15,0.196078431,0.254545454,0.31372549,0.568270944,0.117647059,5.087718209881563,0.3,-0.5126829403452575,3.840728848175471,-3.273891137047346,0.26590278148651125,53.98361200110096,,0.3,1.333333333,0.322580645,0.387096774,0.29032258,0.111111111,0.111111111,0.41935484,0.29032258,0.29032258,0.12676056,64,149,"sa3008282"
"Jaylen Palmer","CHC","AA",24,10,38,44,9,6,1,0,2,6,5,5,0,14,1,0,0,0,4,1,0.236842105,0.113636363,0.318181818,0.357142857,0.236842105,0.34090909,0.421052631,0.761961721,0.184210526,5.693275834651354,0.318181818,0.2222682684659958,6.213804923188467,1.260546140563269,0.363155566833236,125.44882461996436,,0.318181818,0.636363636,0.217391304,0.304347826,0.478260869,0.181818181,0.181818181,0.33333333,0.20833333,0.45833333,0.14906832,63,98,"sa3008297"
"Ronny Simon","MIA","AAA",25,13,41,52,15,11,1,2,1,8,8,8,0,8,0,2,1,0,4,1,0.365853658,0.153846153,0.153846153,1,0.365853658,0.450980392,0.560975609,1.011956001,0.195121951,7.494789312951959,0.411764705,0.1686508534476161,11.24613221127724,4.679732100555651,0.4485655789281808,171.26784877020523,,0.411764705,2.25,0.235294117,0.529411764,0.235294117,0,0.125,0.30555556,0.36111111,0.33333333,0.036,103,147,"sa3008365"
"Omar Martinez","NYY","A+",23,11,42,47,10,8,2,0,0,3,5,5,0,16,0,0,0,1,1,0,0.238095238,0.106382978,0.340425531,0.3125,0.238095238,0.319148936,0.285714285,0.604863221,0.047619047,3.603695372612748,0.384615384,0.013092455454170704,4.7774605725880965,-1.3163862253550187,0.30001102483018915,78.39810764853253,,0.384615384,1.222222222,0.23076923,0.423076923,0.346153846,0.444444444,0,0.26923077,0.26923077,0.46153846,0.15533981,78,128,"sa3008573"
"Diego Cartaya","MIN","AAA",23,6,20,24,1,0,0,0,1,2,1,4,0,14,0,0,0,1,0,0,0.05,0.166666666,0.583333333,0.285714285,0.05,0.208333333,0.2,0.408333333,0.15,1.08035714,0,-0.03926932439208031,0.5946661346605331,-2.435980070287892,0.21015353997548422,19.621760325885777,,0,0.25,0.166666666,0.166666666,0.666666666,0.25,0.25,0.5,0.16666667,0.33333333,0.23584906,45,61,"sa3008742"
"Misael Urbina","MIN","A+",23,6,14,17,3,2,1,0,0,3,2,2,0,4,0,0,1,0,1,0,0.214285714,0.117647058,0.235294117,0.5,0.214285714,0.3125,0.285714285,0.598214285,0.071428571,6.785714285714286,0.3,0.14903060346841812,1.5611200223640151,-0.484290335051661,0.30448972433805466,76.32307212604763,,0.3,4,0.375,0.5,0.125,1,0,0.54545455,0.18181818,0.27272727,0.08974359,32,46,"sa3008743"
"Antonio Gomez","NYY","A+,AA",23,7,23,24,6,4,0,0,2,2,6,1,0,10,0,0,0,1,0,0,0.260869565,0.041666666,0.416666666,0.1,0.260869565,0.291666666,0.52173913,0.813405796,0.260869565,0.14285714,0.363636363,-0.07188751827925444,3.7323468334838608,0.6547184593841292,0.3677893355488777,119.73906151189139,,0.363636363,1.25,0.25,0.416666666,0.333333333,0,0.5,0.30769231,0.38461538,0.30769231,0.1978022,28,63,"sa3008746"
"Jose De La Cruz","DET","A",23,5,21,22,3,2,1,0,0,2,1,1,0,9,0,0,0,0,0,0,0.142857142,0.045454545,0.409090909,0.111111111,0.142857142,0.181818181,0.19047619,0.372294371,0.047619048,2.64285714,0.25,-0.01437366334721446,0.12506104579775112,-2.933279861299112,0.18596503951332785,4.08917938178663,,0.25,2.333333333,0.166666666,0.583333333,0.25,0.333333333,0,0.41666667,0.08333333,0.5,0.31578947,21,55,"sa3008747"
"Eduardo Garcia","MIL","A+",22,10,40,43,9,4,5,0,0,4,4,3,0,9,0,0,0,0,3,1,0.225,0.069767441,0.209302325,0.333333333,0.225,0.279069767,0.35,0.629069767,0.125,5.529232999520461,0.29032258,0.07937929965555668,3.9628886359666704,-1.2107963857318047,0.30493158795112785,76.59702164600832,,0.29032258,0.769230769,0.233333333,0.333333333,0.433333333,0.23076923,0,0.58064516,0.19354839,0.22580645,0.13043478,56,105,"sa3008751"
"Alexander Ramirez","LAA","A+",22,3,10,11,2,0,0,0,2,2,3,1,0,8,0,0,0,0,0,0,0.2,0.09090909,0.727272727,0.125,0.2,0.272727272,0.8,1.072727272,0.6,0.14285714,0,-0.005714964587241411,2.233693610431749,0.8080801326056305,0.4461801160465587,156.68297509629687,,0,0,0.5,0,0.5,0,2,0,1,0,0.35714286,13,29,"sa3008757"
"Juan Guerrero","COL","AA",23,8,30,31,9,7,2,0,0,3,0,1,0,10,0,0,0,1,0,0,0.3,0.032258064,0.322580645,0.1,0.3,0.322580645,0.366666666,0.689247311,0.066666666,1.39285714,0.45,-0.0746806412935257,3.663321697889983,-0.0915693996556412,0.3240038021918266,97.5613300818366,,0.45,2.25,0.277777777,0.5,0.222222222,0,0,0.75,0.1,0.15,0.23232323,32,67,"sa3008759"
"Warming Bernabel","COL","AAA",23,11,42,46,11,5,4,0,2,7,7,3,0,9,1,0,0,0,1,0,0.261904761,0.065217391,0.195652173,0.333333333,0.261904761,0.326086956,0.5,0.826086956,0.238095239,5.244026546233727,0.29032258,0.1541135674342513,6.7198440068782626,0.35609930096281134,0.36190639371457306,105.59575088912348,,0.29032258,1.777777777,0.21875,0.5,0.28125,0.222222222,0.222222222,0.72727273,0.09090909,0.18181818,0.17419355,44,111,"sa3008761"
"Victor Bericoto","SFG","AA",23,11,40,48,12,6,4,0,2,6,5,8,0,7,0,0,0,1,0,0,0.3,0.166666666,0.145833333,1.142857142,0.3,0.416666666,0.55,0.966666666,0.25,0.9067460274999999,0.322580645,-0.13069112226366997,10.050268907904385,4.236243982672452,0.44401852538188297,172.8625012302206,,0.322580645,1.083333333,0.21875,0.40625,0.375,0.083333333,0.166666666,0.60606061,0.09090909,0.3030303,0.10106383,80,108,"sa3008767"
"Dayan Frias","CLE","AA,AAA",23,12,41,48,13,6,5,0,2,12,9,6,0,14,0,1,0,0,1,1,0.31707317,0.125,0.291666666,0.428571428,0.31707317,0.395833333,0.585365853,0.981199186,0.268292683,4.379904605883452,0.423076923,-0.35876983031630516,9.954709485015538,4.094321906408933,0.43981608500083286,169.50344683924286,,0.423076923,0.636363636,0.357142857,0.25,0.392857142,0.09090909,0.181818181,0.57142857,0.14285714,0.28571429,0.11764706,72,115,"sa3008768"
"Cristian Gonzalez","HOU","A+",23,7,32,32,7,5,1,0,1,4,4,0,0,12,0,0,0,0,0,0,0.21875,0,0.375,0,0.21875,0.21875,0.34375,0.5625,0.125,2.64285714,0.315789473,-0.07188751827925444,2.187036113917684,-1.9619659612776281,0.25744588673114777,52.712340805824496,,0.315789473,2.5,0.3,0.5,0.2,0.25,0.25,0.3,0.35,0.35,0.29310345,35,81,"sa3008771"
"Yohander Martinez","MIN","A",23,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,1,0,0.333333333,0,0.333333333,0,0.14285714,0,-0.0047912211157381535,0.20020111655035303,-0.21684537078103736,0.2617735465367635,48.00450852167727,,0,1,0,1,0,0,0,0,0,1,0.07142857,7,7,"sa3008775"
"Yoander Rivero","WSN","A",23,7,13,19,1,0,1,0,0,4,0,5,0,4,1,0,0,0,0,0,0.076923076,0.263157894,0.210526315,1.25,0.076923076,0.368421052,0.153846153,0.522267205,0.076923077,2.64285714,0.111111111,-0.04891892708837986,2.1897770743295784,-0.4395047594383126,0.3239644138436568,83.28422789091117,,0.111111111,3,0.111111111,0.666666666,0.222222222,0,0,0.66666667,0.22222222,0.11111111,0.05376344,42,51,"sa3008782"
"Albert Feliz","BOS","A+",23,4,12,14,1,0,1,0,0,0,1,1,0,8,1,0,0,0,0,0,0.083333333,0.071428571,0.571428571,0.125,0.083333333,0.214285714,0.166666666,0.38095238,0.083333333,0.14285714,0.25,-0.028755007311701775,0.3933134166420175,-1.4218749912559316,0.20600064737456186,21.66791143722034,,0.25,3,0,0.75,0.25,0,0,0.75,0.25,0,0.32142857,18,38,"sa3008799"
"Bryan Gonzalez","KCR","A+",23,8,31,33,9,5,2,1,1,3,2,2,0,9,0,0,0,1,2,0,0.29032258,0.06060606,0.272727272,0.222222222,0.29032258,0.333333333,0.516129032,0.849462365,0.225806452,7.53400886841677,0.38095238,0.31080355681478977,5.338897041912439,1.368394583399656,0.39826746601046936,134.46401551687265,,0.38095238,4.666666666,0.227272727,0.636363636,0.136363636,0.333333333,0.333333333,0.45454545,0.27272727,0.27272727,0.17054264,44,85,"sa3008805"
"Elio Prado","PHI","AA",23,9,31,36,6,4,1,0,1,5,6,4,0,14,0,1,0,0,2,1,0.193548387,0.111111111,0.388888888,0.285714285,0.193548387,0.277777777,0.322580645,0.600358422,0.129032258,5.526956691123242,0.294117647,-0.09896747767925262,3.1883528455730614,-1.1721658483508886,0.28504716687732273,73.11866017260257,,0.294117647,0.444444444,0.235294117,0.235294117,0.529411764,0.222222222,0.111111111,0.27777778,0.22222222,0.5,0.1192053,61,90,"sa3008807"
"Noelberth Romero","BAL","AA",23,2,6,7,1,1,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0.166666666,0.142857142,0.571428571,0.25,0.166666666,0.285714285,0.166666666,0.452380951,0,2.64285714,0.5,-0.018670160323381424,0.3862122559078943,-0.46166637902176266,0.24110900504248484,45.550417241016554,,0.5,0,0.5,0,0.5,0,0,0.5,0,0.5,0.21428571,9,19,"sa3008808"
"Dionmy Salon","KCR","A",23,2,4,6,2,2,0,0,0,2,2,2,0,2,0,0,0,0,1,0,0.5,0.333333333,0.333333333,1,0.5,0.666666666,0.5,1.166666666,0,6.785714285714286,1,0.16738738492131233,1.9739235017362782,1.1436239752832598,0.5937342047691345,237.73631549192154,,1,0,1,0,0,0,0,1,0,0,0.14285714,14,14,"sa3008839"
"Alex De Jesus","TOR","AA",23,3,10,12,3,2,1,0,0,1,1,2,0,5,0,0,0,0,0,0,0.3,0.166666666,0.416666666,0.4,0.3,0.416666666,0.4,0.816666666,0.1,0.76785714,0.6,-0.03734032064676285,2.047388862221521,0.5938826309135378,0.3930108646551768,140.85862297123512,,0.6,2,0.4,0.4,0.2,0,0,0.4,0.2,0.4,0.13559322,23,36,"sa3008842"
"Jose Ramos","LAD","AA",24,10,40,43,7,4,2,0,1,6,3,2,0,12,0,1,0,1,0,0,0.175,0.046511627,0.279069767,0.166666666,0.175,0.209302325,0.3,0.509302325,0.125,2.64285714,0.214285714,-0.0296294828876853,1.7951698801488434,-3.767169381025359,0.23125000609907992,32.27364955387287,,0.214285714,1.3,0.206896551,0.448275862,0.344827586,0.1,0.1,0.51724138,0.13793103,0.34482759,0.23611111,43,101,"sa3008845"
"Alexander Vargas","NYY","AA",23,7,21,23,8,5,3,0,0,4,4,1,0,3,1,0,0,0,1,1,0.38095238,0.04347826,0.130434782,0.333333333,0.38095238,0.434782608,0.523809523,0.958592131,0.142857143,4.672494674594921,0.444444444,-0.28963240049779415,4.8578427656128955,2.071955822272594,0.44642641751662543,174.37329168097187,,0.444444444,5.5,0.277777777,0.611111111,0.111111111,0,0,0.38888889,0.16666667,0.44444444,0.10309278,36,61,"sa3008851"
"Brayan Buelvas","OAK","AA",23,10,35,42,5,1,3,0,1,7,4,6,0,13,1,0,0,0,1,0,0.142857142,0.142857142,0.309523809,0.461538461,0.142857142,0.285714285,0.314285714,0.599999999,0.171428572,5.910275798404236,0.19047619,0.16049402579665184,3.775929180277012,-1.6570533538931382,0.2906697491804759,69.50011630865217,,0.19047619,1,0.181818181,0.409090909,0.409090909,0.222222222,0.111111111,0.31818182,0.22727273,0.45454545,0.13414634,63,101,"sa3008868"
"J.J. D'Orazio","ARI","A+",23,7,25,29,6,5,1,0,0,0,1,3,0,9,1,0,0,0,0,0,0.24,0.103448275,0.310344827,0.333333333,0.24,0.344827586,0.28,0.624827586,0.04,0.14285714,0.375,-0.0514346812851727,2.828754732730133,-0.9296807997205432,0.3169052272007383,75.26415468102104,,0.375,2,0.25,0.5,0.25,0.5,0,0.375,0.125,0.5,0.05504587,39,70,"sa3008876"
"Euribiel Angeles","OAK","AA",23,9,29,31,10,7,3,0,0,2,9,2,0,5,0,0,0,1,0,1,0.344827586,0.064516129,0.161290322,0.4,0.344827586,0.387096774,0.448275862,0.835372636,0.103448276,1.6071428523809523,0.416666666,-0.5028064460493624,5.214886436347503,1.2048278992219157,0.38730986464408135,130.04514492911957,,0.416666666,1.571428571,0.181818181,0.5,0.318181818,0.285714285,0,0.375,0.33333333,0.29166667,0.08602151,29,64,"sa3008877"
"Maikol Escotto","PIT","A+",23,5,21,21,11,5,4,0,2,8,5,0,0,3,0,0,0,1,4,0,0.523809523,0,0.142857142,0,0.523809523,0.523809523,1,1.523809523,0.476190477,7.5,0.5625,0.7281124936416745,8.455146175934741,5.732363564087818,0.6846935521988642,310.5332808850072,,0.5625,1,0.222222222,0.388888888,0.388888888,0.285714285,0.285714285,0.5,0.38888889,0.11111111,0.13513514,22,52,"sa3008878"
"Milkar Perez","SEA","A+",23,9,31,39,9,5,3,1,0,5,2,7,0,8,1,0,0,0,0,0,0.29032258,0.179487179,0.205128205,0.875,0.29032258,0.435897435,0.451612903,0.887510338,0.161290323,3.97098214,0.391304347,-0.07429453963413835,7.225007277055072,2.1705594920351974,0.4243649855638162,142.94355356619167,,0.391304347,1.142857142,0.347826086,0.347826086,0.304347826,0.142857142,0,0.30434783,0.34782609,0.34782609,0.07058824,77,93,"sa3008883"
"Victor Duarte","SDP","A",24,4,16,18,4,2,2,0,0,2,2,2,0,2,0,0,0,0,1,0,0.25,0.111111111,0.111111111,1,0.25,0.333333333,0.375,0.708333333,0.125,5.744047616964286,0.285714285,0.1495407558977604,2.3895444649916557,-0.08519729192439054,0.34576358397801715,96.55732596395994,,0.285714285,1.5,0.285714285,0.428571428,0.285714285,0,0,0.42857143,0.28571429,0.28571429,0.08,30,45,"sa3008904"
"Leandro Pineda","PHI","AA",23,11,42,49,4,3,1,0,0,5,3,5,0,14,0,2,0,1,0,0,0.095238095,0.102040816,0.285714285,0.357142857,0.095238095,0.183673469,0.119047619,0.302721088,0.023809524,2.64285714,0.133333333,-0.0746806412935257,-0.2806846792453922,-6.215835123752991,0.16097355253842413,-4.729192324099188,,0.133333333,1.272727272,0.107142857,0.5,0.392857142,0.09090909,0,0.46666667,0.23333333,0.3,0.13846154,68,127,"sa3008905"
"Rodolfo Nolasco","SFG","AA",23,6,15,19,0,0,0,0,0,1,0,3,0,7,1,0,0,0,0,0,0,0.157894736,0.368421052,0.428571428,0,0.210526315,0,0.210526315,0,1.60119047125,0,-0.03734032064676285,-0.15290113342805764,-2.454285999665698,0.1579219385197288,-6.643874984631498,,0,1.333333333,0.125,0.5,0.375,0.666666666,0,0.5,0.125,0.375,0.12820513,34,44,"sa3008907"
"Jesus Rodriguez","NYY","AA,AAA",23,10,39,44,7,7,0,0,0,5,4,4,0,8,1,0,0,2,1,1,0.179487179,0.09090909,0.181818181,0.5,0.179487179,0.272727272,0.179487179,0.452214451,0,4.165827046938109,0.225806451,-0.33968355786055326,2.237392628958952,-3.164249902197588,0.23435629091479562,39.8415549130355,,0.225806451,2.25,0.161290322,0.580645161,0.258064516,0.25,0,0.38709677,0.19354839,0.41935484,0.07692308,48,95,"sa3008916"
"Jorge Burgos","CLE","AA",23,10,35,45,9,2,1,2,4,8,13,7,0,10,1,2,0,1,0,0,0.257142857,0.155555555,0.222222222,0.7,0.257142857,0.377777777,0.742857142,1.120634919,0.485714285,4.10119047125,0.217391304,-0.09335080161690712,10.403675660149988,4.953027292745051,0.472719485229916,190.87042419328174,,0.217391304,0.352941176,0.148148148,0.222222222,0.629629629,0.176470588,0.235294117,0.48148148,0.25925926,0.25925926,0.16842105,77,113,"sa3008929"
"Omar De Los Santos","NYM","AA,AAA",25,4,12,13,1,1,0,0,0,0,0,0,0,10,1,0,0,0,1,0,0.083333333,0,0.769230769,0,0.083333333,0.153846153,0.083333333,0.237179486,0,5,0.5,0.18084759172052145,-0.4215292646117683,-2.027069450778532,0.13144729229120108,-26.47491816025587,,0.5,0,0.5,0,0.5,0,0,0.5,0,0.5,0.32142857,14,42,"sa3008938"
"Wilber Sanchez","CHW","A+",23,3,8,8,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.375,0,0.25,0,0.375,0.375,0.375,0.75,0,0.14285714,0.5,-0.04313251096755266,1.1768073405058306,0.13955682170700254,0.3581046760082245,113.4544952427321,,0.5,2,0,0.666666666,0.333333333,0.5,0,0,0.33333333,0.66666667,0.16,5,20,"sa3008941"
"Geraldo Quintero","ATL","AA",23,8,29,35,4,1,1,1,1,5,9,4,0,5,0,1,0,0,3,0,0.137931034,0.114285714,0.142857142,0.8,0.137931034,0.235294117,0.344827586,0.580121703,0.206896552,10,0.125,0.5239554159343243,2.595255412121513,-1.3448368013303496,0.27120013622676625,65.86788510332462,,0.125,1.1,0.16,0.44,0.4,0.2,0.1,0.6,0.2,0.2,0.1171875,46,82,"sa3008942"
"Carlos Mendoza","DET","AA",25,8,24,34,10,8,2,0,0,7,3,9,0,2,0,1,0,1,0,2,0.416666666,0.264705882,0.058823529,4.5,0.416666666,0.558823529,0.5,1.058823529,0.083333334,2.9026214645875985,0.434782608,-1.007270047441125,8.50863327242983,4.390365617057208,0.4978005360154545,206.60709755786795,,0.434782608,5,0.217391304,0.652173913,0.130434782,0,0,0.43478261,0.17391304,0.39130435,0.08029197,64,73,"sa3008944"
"Felix Stevens","CHC","AA",25,10,28,32,4,3,0,0,1,3,2,3,0,13,1,0,0,1,1,0,0.142857142,0.09375,0.40625,0.23076923,0.142857142,0.25,0.25,0.5,0.107142858,5.139663911541973,0.214285714,0.0935375727713108,1.9234340281396973,-1.6789359955877197,0.25194765627384186,53.39357188380932,,0.214285714,2.5,0.066666666,0.666666666,0.266666666,0,0.25,0.26666667,0.4,0.33333333,0.22321429,39,73,"sa3008946"
