Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,PlayerId
"Eddie Rosario","LAD","AAA",33,14,59,69,20,12,6,0,2,11,12,8,2,16,0,2,0,3,3,1,0.33898305,0.115942028,0.231884057,0.5,0.33898305,0.405797101,0.542372881,0.948169982,0.203389831,4.616402169562805,0.418604651,0.019541291519999504,12.690114712111889,3.144497653238712,0.40515904106310946,132.941795526102,,0.418604651,1.357142857,0.266666666,0.422222222,0.311111111,0,0.142857142,0.32608696,0.36956522,0.30434783,0.11111111,101,178,"12155"
"Ben Gamel","DET","AAA",33,11,39,45,13,10,3,0,0,4,3,5,0,13,1,0,0,0,2,1,0.333333333,0.111111111,0.288888888,0.384615384,0.333333333,0.422222222,0.41025641,0.832478632,0.076923077,3.5171086687941755,0.5,-0.20189715921878815,7.768060491755349,2.085598857477051,0.39422310855653553,136.70238343354754,,0.5,3,0.333333333,0.5,0.166666666,0,0,0.53846154,0.26923077,0.19230769,0.08938547,76,103,"12160"
"Jorge Alfaro","MIL","AAA",32,13,52,55,14,11,1,0,2,7,7,1,0,18,1,1,0,1,5,0,0.269230769,0.018181818,0.327272727,0.055555555,0.269230769,0.29090909,0.403846153,0.694755243,0.134615384,6.584193378041089,0.363636363,0.8723747106269002,5.937435022839289,-1.007795863500852,0.313708035512404,85.48938285863207,,0.363636363,1.5,0.285714285,0.428571428,0.285714285,0.2,0.2,0.4,0.28571429,0.31428571,0.24468085,57,131,"12180"
"James McCann","ATL","AA,AAA",35,5,19,23,6,3,3,0,0,2,4,4,0,6,0,0,0,0,1,0,0.315789473,0.173913043,0.260869565,0.666666666,0.315789473,0.434782608,0.47368421,0.908466818,0.157894737,4.3704053124656355,0.461538461,0.1258870977908373,4.37447680047676,1.5249189685933295,0.42548895659654035,159.10140712821976,,0.461538461,11,0.076923076,0.846153846,0.076923076,0,0,0.38461538,0.23076923,0.38461538,0.08602151,37,56,"12859"
"Ildemaro Vargas","ARI","AAA",33,16,63,72,21,14,3,1,3,11,17,8,0,7,0,1,0,0,4,0,0.333333333,0.111111111,0.097222222,1.142857142,0.333333333,0.402777777,0.555555555,0.958333332,0.222222222,7.320939175006492,0.333333333,0.6878331694751978,14.160078802135077,4.199434914615241,0.4197397116157744,142.16027560102725,,0.333333333,2.071428571,0.245614035,0.508771929,0.245614035,0.285714285,0.214285714,0.52631579,0.26315789,0.21052632,0.02846975,117,164,"13324"
"Jake Lamb","SFG","AAA",34,16,54,62,15,10,5,0,0,8,5,5,0,20,3,0,0,0,0,0,0.277777777,0.080645161,0.322580645,0.25,0.277777777,0.370967741,0.37037037,0.741338111,0.092592593,2.01785714,0.44117647,-0.09177287109196186,8.411334532191267,-0.16588659317303564,0.3499966917499419,98.06596343094756,,0.44117647,1.375,0.44117647,0.323529411,0.235294117,0.375,0,0.41176471,0.20588235,0.38235294,0.13108614,101,166,"13329"
"Omar Narvaez","CHW","AA",33,3,8,9,2,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0.25,0.111111111,0.111111111,1,0.25,0.333333333,0.375,0.708333333,0.125,1.60119047125,0.285714285,-0.03041783720254898,1.106073031072072,0.09290646189873611,0.3380311793751187,109.16990993638296,,0.285714285,1,0.142857142,0.428571428,0.428571428,0.333333333,0,0.42857143,0.42857143,0.14285714,0.08888889,18,27,"13338"
"Luke Maile","KCR","AAA",34,8,29,35,9,7,1,0,1,4,8,5,0,8,1,0,0,0,0,0,0.310344827,0.142857142,0.228571428,0.625,0.310344827,0.428571428,0.448275862,0.87684729,0.137931035,0.9601648275000001,0.4,-0.127625304274261,6.527516214185802,2.1078238319693483,0.4114999890327454,147.6916411750875,,0.4,1.6,0.35,0.4,0.25,0,0.2,0.61904762,0.0952381,0.28571429,0.10218978,55,82,"13355"
"Jack Lopez","SEA","AAA",32,7,21,25,3,3,0,0,0,2,2,1,0,11,1,0,2,1,0,0,0.142857142,0.04,0.44,0.09090909,0.142857142,0.217391304,0.142857142,0.360248446,0,2.64285714,0.3,-0.025492464192211628,-0.1655949500724202,-3.6241518554612524,0.1873148368752521,-4.787978182877492,,0.3,6,0.3,0.6,0.1,0,0,0.72727273,0.09090909,0.18181818,0.21359223,29,74,"13663"
"Tomas Nido","DET","AAA",31,6,25,28,4,2,1,0,1,2,4,2,0,7,0,0,1,0,0,0,0.16,0.071428571,0.25,0.285714285,0.16,0.222222222,0.32,0.542222222,0.16,0.76785714,0.176470588,-0.03926932439208031,1.5792159383901132,-1.9565379673830496,0.24952427104667382,44.664192714645004,,0.176470588,1,0.222222222,0.388888888,0.388888888,0.142857142,0.142857142,0.36842105,0.26315789,0.36842105,0.20212766,29,65,"13755"
